class,opcode_hex,opcode_dec,direction
FA2C_kick_out_Message,0x0114,276,FA2C
FA2C_notice_Message,0x0201,513,FA2C
FA2C_world_infos_Message,0x0306,774,FA2C
FC2A_ask_account_withdraw_Message,0x0112,274,FC2A
FC2A_ask_all_character_infos_Message,0x010c,268,FC2A
FC2A_ask_auth_hexa_id_Message,0x010e,270,FC2A
FC2A_ask_buy_cash_shop_data_Message,0x011e,286,FC2A
FC2A_ask_character_gift_get_Message,0x0136,310,FC2A
FC2A_ask_character_gift_info_Message,0x0134,308,FC2A
FC2A_ask_character_gift_my_info_Message,0x0132,306,FC2A
FC2A_ask_check_cash_shop_mode_Message,0x0115,277,FC2A
FC2A_ask_check_shop_product_Message,,,FC2A
FC2A_ask_connection_Message,0x0101,257,FC2A
FC2A_ask_enter_game_Message,0x0107,263,FC2A
FC2A_ask_get_agreement_currency_Message,0x013a,314,FC2A
FC2A_ask_get_cash_define_Message,0x0117,279,FC2A
FC2A_ask_get_sdk_reward_Message,0x0122,290,FC2A
FC2A_ask_login_cash_shop_mode_Message,0x0126,294,FC2A
FC2A_ask_logout_cash_shop_mode_Message,0x0129,297,FC2A
FC2A_ask_ping_Message,0x0103,259,FC2A
FC2A_ask_probability_draw_Message,0x012a,298,FC2A
FC2A_ask_req_enter_game_Message,0x0301,769,FC2A
FC2A_ask_set_agreement_currency_Message,0x0138,312,FC2A
FC2A_ask_shop_mode_product_list_Message,0x011b,283,FC2A
FC2A_ask_shop_mode_tab_list_Message,0x0119,281,FC2A
FC2A_ask_transfer_check_Message,0x0130,304,FC2A
FC2A_ask_verify_hexa_otp_code_Message,0x0110,272,FC2A
FC2A_ask_view_reward_list_Message,0x012c,300,FC2A
FC2A_ask_wait_cancel_Message,0x0109,265,FC2A
FC2A_ask_world_info_Message,0x0105,261,FC2A
FC2A_ask_world_info_transfer_Message,0x012e,302,FC2A
FC2G_ans_babylon_occupation_buff_info_Message,0x1913,6419,FC2G
FC2G_ask_appear_viewpoint_monster_list_Message,0x041c,1052,FC2G
FC2G_ask_auto_battle_state_Message,0x0328,808,FC2G
FC2G_ask_babylon_occupation_warp_Message,0x1907,6407,FC2G
FC2G_ask_base_return_Message,0x0d10,3344,FC2G
FC2G_ask_base_return_battle_for_paradise_Message,0x110d,4365,FC2G
FC2G_ask_base_return_steel_battle_field_Message,0x1a03,6659,FC2G
FC2G_ask_begin_hyperline_Message,0x0417,1047,FC2G
FC2G_ask_begin_interaction_Message,0x0410,1040,FC2G
FC2G_ask_begin_use_normal_skill_Message,0x0609,1545,FC2G
FC2G_ask_board_unit_Message,0x0e02,3586,FC2G
FC2G_ask_boss_position_Message,0x031e,798,FC2G
FC2G_ask_cancel_skill_buff_Message,0x0626,1574,FC2G
FC2G_ask_change_combat_state_Message,0x030b,779,FC2G
FC2G_ask_chat_report_Message,0x080d,2061,FC2G
FC2G_ask_coreworld_team_point_detail_Message,0x1403,5123,FC2G
FC2G_ask_create_party_Message,0x0902,2306,FC2G
FC2G_ask_customizing_list_Message,0x0404,1028,FC2G
FC2G_ask_cutscene_skip_Message,0x0a02,2562,FC2G
FC2G_ask_delegate_party_leader_Message,0x0904,2308,FC2G
FC2G_ask_detail_map_info_Message,0x0d14,3348,FC2G
FC2G_ask_duo_party_Message,0x091d,2333,FC2G
FC2G_ask_end_hyperline_Message,0x0419,1049,FC2G
FC2G_ask_end_interaction_Message,0x0412,1042,FC2G
FC2G_ask_end_use_normal_skill_Message,0x060b,1547,FC2G
FC2G_ask_exitroom_Message,0x0203,515,FC2G
FC2G_ask_fortress_first_destroyed_npc_infos_Message,0x180c,6156,FC2G
FC2G_ask_fortress_return_to_base_Message,0x180e,6158,FC2G
FC2G_ask_fortress_skill_list_Message,0x1807,6151,FC2G
FC2G_ask_fortress_warp_Message,0x1805,6149,FC2G
FC2G_ask_frontier_occupation_pvp_contribution_rank_Message,0x1704,5892,FC2G
FC2G_ask_guild_killpoint_Message,0x1002,4098,FC2G
FC2G_ask_guild_member_contribution_info_battle_for_paradise_Message,0x110a,4362,FC2G
FC2G_ask_interact_portal_obj_Message,0x0414,1044,FC2G
FC2G_ask_interaction_exploration_map_obj_Message,0x0416,1046,FC2G
FC2G_ask_invite_to_party_Message,0x0910,2320,FC2G
FC2G_ask_item_spawn_monster_info_Message,0x032c,812,FC2G
FC2G_ask_join_party_Message,0x090a,2314,FC2G
FC2G_ask_joinroom_Message,0x0202,514,FC2G
FC2G_ask_kick_out_party_Message,0x0908,2312,FC2G
FC2G_ask_local_chat_Message,0x0801,2049,FC2G
FC2G_ask_location_marker_info_Message,0x0322,802,FC2G
FC2G_ask_login_Message,,,FC2G
FC2G_ask_mine_war_boss_info_Message,0x0d05,3333,FC2G
FC2G_ask_mine_war_rank_list_Message,0x0d09,3337,FC2G
FC2G_ask_mine_war_realm_drill_hp_Message,0x0d0c,3340,FC2G
FC2G_ask_move_boarding_unit_Message,0x0e05,3589,FC2G
FC2G_ask_move_player_Message,,,FC2G
FC2G_ask_parent_ui_info_Message,0x0326,806,FC2G
FC2G_ask_party_chat_Message,0x0805,2053,FC2G
FC2G_ask_party_target_uid_select_Message,0x091f,2335,FC2G
FC2G_ask_ping_Message,,,FC2G
FC2G_ask_play_motion_Message,0x0809,2057,FC2G
FC2G_ask_player_contribution_info_babylon_occupation_Message,0x1905,6405,FC2G
FC2G_ask_player_profile_info_Message,,,FC2G
FC2G_ask_request_teleport_Message,0x0408,1032,FC2G
FC2G_ask_search_recommend_player_Message,0x0919,2329,FC2G
FC2G_ask_search_user_Message,0x091b,2331,FC2G
FC2G_ask_server_tick_info_Message,,,FC2G
FC2G_ask_set_location_marker_Message,0x0320,800,FC2G
FC2G_ask_set_ping_mode_Message,,,FC2G
FC2G_ask_steel_battle_field_guild_member_contribution_info_Message,0x1a12,6674,FC2G
FC2G_ask_steel_battle_field_realm_contribution_info_Message,0x1a14,6676,FC2G
FC2G_ask_summon_ultimate_gear_in_direct_Message,0x0b06,2822,FC2G
FC2G_ask_team_chat_Message,0x0803,2051,FC2G
FC2G_ask_teleport_occupy_region_Message,0x1708,5896,FC2G
FC2G_ask_ua_invite_member_Message,0x1603,5635,FC2G
FC2G_ask_ua_pick_target_partygroup_Message,0x1605,5637,FC2G
FC2G_ask_ua_visit_recommand_list_Message,,,FC2G
FC2G_ask_ultimate_gear_info_Message,0x0b02,2818,FC2G
FC2G_ask_unityalliance_chat_Message,0x0807,2055,FC2G
FC2G_ask_unityalliance_member_location_info_Message,0x041e,1054,FC2G
FC2G_ask_update_party_option_Message,0x0916,2326,FC2G
FC2G_ask_use_fortress_skill_Message,0x1809,6153,FC2G
FC2G_ask_use_mine_war_turret_skill_Message,0x0620,1568,FC2G
FC2G_ask_use_skill_Message,0x0601,1537,FC2G
FC2G_ask_withdraw_party_Message,0x0906,2310,FC2G
FC2G_ask_worldboss_top_players_info_Message,0x0c09,3081,FC2G
FC2G_end_warp_player_Message,0x040b,1035,FC2G
FC2G_ready_game_Message,0x0205,517,FC2G
FC2G_respond_party_invitation_Message,0x0913,2323,FC2G
FC2G_respond_to_join_party_Message,0x090c,2316,FC2G
FC2L_ans_earth_check_skill_Message,0x0222,546,FC2L
FC2L_ans_earth_skill_Message,0x0220,544,FC2L
FC2L_ans_fire_check_skill_Message,0x0348,840,FC2L
FC2L_ans_fire_skill_Message,0x0346,838,FC2L
FC2L_ans_invite_member_unityalliance_Message,0x2a16,10774,FC2L
FC2L_ans_water_check_skill_Message,0x034c,844,FC2L
FC2L_ans_water_skill_Message,0x034a,842,FC2L
FC2L_ans_wind_check_skill_Message,0x0226,550,FC2L
FC2L_ans_wind_skill_Message,0x0224,548,FC2L
FC2L_ask_accept_guild_invitation_Message,0x0d20,3360,FC2L
FC2L_ask_accept_regist_amity_guild_Message,0x0d48,3400,FC2L
FC2L_ask_accept_to_join_guild_Message,,,FC2L
FC2L_ask_accept_transaction_Message,0x251b,9499,FC2L
FC2L_ask_acceptance_match_Message,,,FC2L
FC2L_ask_account_withdraw_Message,0x0217,535,FC2L
FC2L_ask_add_black_list_Message,0x1011,4113,FC2L
FC2L_ask_alchemy_execute_Message,0x0551,1361,FC2L
FC2L_ask_alchemy_predict_Message,0x054f,1359,FC2L
FC2L_ask_alchemy_progress_info_Message,0x054d,1357,FC2L
FC2L_ask_alchemy_random_rate_info_Message,0x0555,1365,FC2L
FC2L_ask_alchemy_reset_Message,0x0553,1363,FC2L
FC2L_ask_all_character_infos_Message,0x020d,525,FC2L
FC2L_ask_all_quest_reward_Message,0x0a15,2581,FC2L
FC2L_ask_amity_guild_list_Message,0x0d4c,3404,FC2L
FC2L_ask_attach_talic_to_equip_Message,0x0505,1285,FC2L
FC2L_ask_attached_item_mail_Message,,,FC2L
FC2L_ask_attendance_reward_Message,0x1e03,7683,FC2L
FC2L_ask_babylon_occupation_boss_info_Message,0x3307,13063,FC2L
FC2L_ask_babylon_occupation_lobby_Message,0x3301,13057,FC2L
FC2L_ask_babylon_occupation_match_info_Message,0x3305,13061,FC2L
FC2L_ask_battlepass_levelup_Message,0x1e18,7704,FC2L
FC2L_ask_battlepass_reward_Message,0x1e16,7702,FC2L
FC2L_ask_biosuit_enchant_info_Message,0x2f01,12033,FC2L
FC2L_ask_block_guild_master_auth_Message,0x0da0,3488,FC2L
FC2L_ask_block_mail_user_list_Message,0x0c18,3096,FC2L
FC2L_ask_boss_schedule_Message,,,FC2L
FC2L_ask_boss_spawn_item_probability_info_Message,,,FC2L
FC2L_ask_boss_status_list_Message,,,FC2L
FC2L_ask_buy_cash_shop_data_Message,0x2007,8199,FC2L
FC2L_ask_buy_gold_shop_bulk_Message,0x200b,8203,FC2L
FC2L_ask_cancel_invite_guild_Message,0x0d1b,3355,FC2L
FC2L_ask_cancel_match_Message,,,FC2L
FC2L_ask_cancel_matchmaking_Message,,,FC2L
FC2L_ask_cancel_pk_chase_Message,,,FC2L
FC2L_ask_cancel_quest_Message,0x0a0a,2570,FC2L
FC2L_ask_cancel_regist_amity_guild_Message,0x0d42,3394,FC2L
FC2L_ask_cancel_request_join_guild_Message,0x0d34,3380,FC2L
FC2L_ask_cancel_wait_enter_map_Message,,,FC2L
FC2L_ask_carditem_compose_Message,0x0519,1305,FC2L
FC2L_ask_carditem_confirm_Message,0x0520,1312,FC2L
FC2L_ask_carditem_redraw_Message,0x0522,1314,FC2L
FC2L_ask_carditem_select_slot_Message,0x051e,1310,FC2L
FC2L_ask_carditem_tuning_Message,0x0549,1353,FC2L
FC2L_ask_carditem_use_point_Message,0x051b,1307,FC2L
FC2L_ask_cash_inven_list_Message,0x200d,8205,FC2L
FC2L_ask_cash_shop_buy_Message,0x2009,8201,FC2L
FC2L_ask_cash_shop_get_ceiling_data_Message,0x2021,8225,FC2L
FC2L_ask_cash_shop_get_ceiling_reward_Message,0x2023,8227,FC2L
FC2L_ask_cash_shop_product_data_Message,0x2004,8196,FC2L
FC2L_ask_cash_shop_tab_data_Message,0x2001,8193,FC2L
FC2L_ask_challenge_mode_previous_top_rank_squad_info_Message,0x0369,873,FC2L
FC2L_ask_challenge_mode_ranking_list_Message,0x0367,871,FC2L
FC2L_ask_challenge_mode_squad_disband_Message,0x036b,875,FC2L
FC2L_ask_challenge_mode_squad_info_Message,0x0365,869,FC2L
FC2L_ask_challenge_mode_squad_register_Message,0x035d,861,FC2L
FC2L_ask_change_biosuit_Message,0x1303,4867,FC2L
FC2L_ask_change_character_name_Message,,,FC2L
FC2L_ask_change_equip_slot_Message,0x0501,1281,FC2L
FC2L_ask_change_guild_alias_mark_Message,0x0dac,3500,FC2L
FC2L_ask_change_guild_name_Message,0x0d2e,3374,FC2L
FC2L_ask_change_language_code_Message,0x0336,822,FC2L
FC2L_ask_change_member_rank_Message,,,FC2L
FC2L_ask_change_opt_unityalliance_Message,0x2a05,10757,FC2L
FC2L_ask_change_option_equip_Message,0x050f,1295,FC2L
FC2L_ask_change_pos_unityalliance_Message,0x2a0f,10767,FC2L
FC2L_ask_change_preset_biosuit_enchant_Message,0x2f07,12039,FC2L
FC2L_ask_change_rank_unityalliance_Message,0x2a09,10761,FC2L
FC2L_ask_change_request_mission_Message,0x0b1b,2843,FC2L
FC2L_ask_change_rover_Message,,,FC2L
FC2L_ask_change_skill_addon_Message,0x0705,1797,FC2L
FC2L_ask_change_visibility_option_Message,0x0515,1301,FC2L
FC2L_ask_channel_chat_block_Message,0x0f0b,3851,FC2L
FC2L_ask_channel_chat_block_list_Message,0x0f11,3857,FC2L
FC2L_ask_channel_chat_change_roominfo_Message,0x0f17,3863,FC2L
FC2L_ask_channel_chat_chat_Message,0x0f13,3859,FC2L
FC2L_ask_channel_chat_createroom_Message,0x0f03,3843,FC2L
FC2L_ask_channel_chat_exitroom_Message,0x0f09,3849,FC2L
FC2L_ask_channel_chat_get_history_Message,0x0f15,3861,FC2L
FC2L_ask_channel_chat_joinroom_Message,,,FC2L
FC2L_ask_channel_chat_remove_block_Message,0x0f0d,3853,FC2L
FC2L_ask_channel_chat_report_Message,0x0f1a,3866,FC2L
FC2L_ask_channel_chat_room_info_Message,,,FC2L
FC2L_ask_channel_chat_roomlist_Message,0x0f01,3841,FC2L
FC2L_ask_channel_chat_user_list_Message,0x0f0f,3855,FC2L
FC2L_ask_channel_info_Message,0x020f,527,FC2L
FC2L_ask_character_gift_2ndpass_info_Message,0x202d,8237,FC2L
FC2L_ask_character_gift_2ndpass_set_Message,0x202b,8235,FC2L
FC2L_ask_character_gift_2ndpass_verify_Message,0x202f,8239,FC2L
FC2L_ask_character_gift_buy_info_Message,0x2029,8233,FC2L
FC2L_ask_character_gift_check_Message,,,FC2L
FC2L_ask_character_gift_make_Message,,,FC2L
FC2L_ask_character_info_Message,,,FC2L
FC2L_ask_charge_time_dungeon_Message,,,FC2L
FC2L_ask_charging_holygas_Message,0x1514,5396,FC2L
FC2L_ask_chat_report_Message,0x0e12,3602,FC2L
FC2L_ask_chat_unityalliance_Message,0x0e16,3606,FC2L
FC2L_ask_check_duplicate_guild_name_Message,,,FC2L
FC2L_ask_check_shop_product_Message,0x2014,8212,FC2L
FC2L_ask_check_use_cash_product_Message,0x2012,8210,FC2L
FC2L_ask_combinefail_info_Message,0x0535,1333,FC2L
FC2L_ask_combinefail_preview_Message,0x0559,1369,FC2L
FC2L_ask_combinefail_use_Message,0x0537,1335,FC2L
FC2L_ask_compose_talic_Message,0x0509,1289,FC2L
FC2L_ask_compose_talic_prob_list_Message,0x0557,1367,FC2L
FC2L_ask_conflict_area_info_Message,0x1811,6161,FC2L
FC2L_ask_conversion_talic_Message,0x050b,1291,FC2L
FC2L_ask_conversion_talic_prob_list_Message,0x050d,1293,FC2L
FC2L_ask_coreworld_current_info_Message,0x2c03,11267,FC2L
FC2L_ask_coreworld_info_Message,0x2c01,11265,FC2L
FC2L_ask_coreworld_last_result_info_Message,0x2c05,11269,FC2L
FC2L_ask_coreworld_last_result_top_user_info_Message,0x2c07,11271,FC2L
FC2L_ask_craft_item_Message,0x0528,1320,FC2L
FC2L_ask_craft_item_bookmark_info_Message,0x052c,1324,FC2L
FC2L_ask_craft_item_period_info_Message,0x0545,1349,FC2L
FC2L_ask_craft_item_period_info_all_Message,0x0547,1351,FC2L
FC2L_ask_craft_item_prob_Message,0x052e,1326,FC2L
FC2L_ask_craft_ug_Message,0x150b,5387,FC2L
FC2L_ask_create_character_Message,,,FC2L
FC2L_ask_create_guild_Message,0x0d03,3331,FC2L
FC2L_ask_create_party_Message,,,FC2L
FC2L_ask_create_unityalliance_Message,0x2a01,10753,FC2L
FC2L_ask_current_pk_history_info_Message,0x1915,6421,FC2L
FC2L_ask_delegate_party_leader_Message,,,FC2L
FC2L_ask_delete_character_Message,,,FC2L
FC2L_ask_delete_mail_Message,0x0c0f,3087,FC2L
FC2L_ask_delete_personal_mail_Message,,,FC2L
FC2L_ask_delete_request_mission_Message,0x0b1d,2845,FC2L
FC2L_ask_destroy_unityalliance_Message,0x2a0d,10765,FC2L
FC2L_ask_detach_talic_to_equip_Message,0x0507,1287,FC2L
FC2L_ask_dismantle_item_Message,,,FC2L
FC2L_ask_ditch_items_Message,,,FC2L
FC2L_ask_donate_guild_Message,,,FC2L
FC2L_ask_duo_party_Message,0x112c,4396,FC2L
FC2L_ask_edit_customizing_Message,,,FC2L
FC2L_ask_emergency_escape_Message,,,FC2L
FC2L_ask_enchant_biosuit_Message,0x2f03,12035,FC2L
FC2L_ask_enchant_equip_prob_Message,0x0513,1299,FC2L
FC2L_ask_enchant_skill_Message,,,FC2L
FC2L_ask_enchant_tech_link_Message,0x1517,5399,FC2L
FC2L_ask_enchant_ultimate_gear_level_Message,0x1512,5394,FC2L
FC2L_ask_enchantfail_list_Message,0x0539,1337,FC2L
FC2L_ask_enchantfail_preview_Message,0x055b,1371,FC2L
FC2L_ask_enchantfail_use_Message,0x053b,1339,FC2L
FC2L_ask_enemy_guild_list_Message,0x0d3e,3390,FC2L
FC2L_ask_enter_map_Message,,,FC2L
FC2L_ask_entry_connection_Message,,,FC2L
FC2L_ask_entry_login_Message,,,FC2L
FC2L_ask_equip_costume_Message,0x2b03,11011,FC2L
FC2L_ask_equip_rover_costume_Message,0x3104,12548,FC2L
FC2L_ask_equip_title_Message,,,FC2L
FC2L_ask_equip_weapon_costume_Message,0x3203,12803,FC2L
FC2L_ask_equipitem_remodel_Message,0x053d,1341,FC2L
FC2L_ask_equipitem_remodel_prob_Message,0x053f,1343,FC2L
FC2L_ask_event_item_exchange_Message,0x1e09,7689,FC2L
FC2L_ask_event_mission_reward_Message,0x1e07,7687,FC2L
FC2L_ask_event_mother_ship_status_list_Message,0x1815,6165,FC2L
FC2L_ask_exchange_for_my_sales_list_Message,0x1d06,7430,FC2L
FC2L_ask_exchange_for_my_settlement_list_Message,0x1d08,7432,FC2L
FC2L_ask_exchange_for_my_transaction_history_Message,0x1d0a,7434,FC2L
FC2L_ask_exchange_market_price_information_Message,0x1d16,7446,FC2L
FC2L_ask_exp_rank_info_Message,,,FC2L
FC2L_ask_exp_rank_list_Message,,,FC2L
FC2L_ask_exploration_report_info_Message,0x2601,9729,FC2L
FC2L_ask_exploration_report_reward_Message,0x2603,9731,FC2L
FC2L_ask_extend_inven_slot_Message,,,FC2L
FC2L_ask_fortress_auction_status_Message,0x3016,12310,FC2L
FC2L_ask_fortress_bid_Message,0x3018,12312,FC2L
FC2L_ask_fortress_bounty_info_list_Message,0x3009,12297,FC2L
FC2L_ask_fortress_donate_guild_Message,,,FC2L
FC2L_ask_fortress_history_Message,0x3012,12306,FC2L
FC2L_ask_fortress_last_result_detail_info_Message,0x3020,12320,FC2L
FC2L_ask_fortress_last_result_info_Message,0x301d,12317,FC2L
FC2L_ask_fortress_match_info_Message,0x3010,12304,FC2L
FC2L_ask_fortress_priority_join_Message,0x3014,12308,FC2L
FC2L_ask_friend_list_Message,,,FC2L
FC2L_ask_frontier_occupation_boss_info_Message,0x181d,6173,FC2L
FC2L_ask_frontier_occupation_contribution_Message,0x181b,6171,FC2L
FC2L_ask_frontier_occupation_info_Message,0x1817,6167,FC2L
FC2L_ask_frontier_occupation_region_Message,0x1819,6169,FC2L
FC2L_ask_game_event_base_data_Message,0x1e26,7718,FC2L
FC2L_ask_game_event_board_next_reward_list_no_Message,0x1e32,7730,FC2L
FC2L_ask_game_event_board_pick_reward_Message,0x1e2e,7726,FC2L
FC2L_ask_game_event_board_sub_reward_Message,0x1e30,7728,FC2L
FC2L_ask_game_event_capsule_gacha_Message,0x1e4b,7755,FC2L
FC2L_ask_game_event_capsule_list_Message,0x1e48,7752,FC2L
FC2L_ask_game_event_capsule_rank_list_Message,0x1e4e,7758,FC2L
FC2L_ask_game_event_group_buy_info_list_Message,0x1e65,7781,FC2L
FC2L_ask_game_event_group_buy_reward_Message,0x1e67,7783,FC2L
FC2L_ask_game_event_minor_vote_cancel_vote_Message,0x1e7a,7802,FC2L
FC2L_ask_game_event_minor_vote_cast_vote_Message,0x1e78,7800,FC2L
FC2L_ask_game_event_minor_vote_info_Message,0x1e75,7797,FC2L
FC2L_ask_game_event_minor_vote_reward_Message,0x1e7c,7804,FC2L
FC2L_ask_game_event_rank_race_ranking_list_data_Message,0x1e42,7746,FC2L
FC2L_ask_game_event_rank_race_reward_Message,0x1e40,7744,FC2L
FC2L_ask_game_event_rank_race_user_rank_Message,0x1e44,7748,FC2L
FC2L_ask_game_event_roulette_reward_Message,0x1e5f,7775,FC2L
FC2L_ask_game_event_roulette_reward_select_slot_random_setting_Message,0x1e72,7794,FC2L
FC2L_ask_game_event_roulette_reward_select_slot_reset_Message,0x1e70,7792,FC2L
FC2L_ask_game_event_roulette_reward_select_slot_setting_Message,0x1e6e,7790,FC2L
FC2L_ask_game_event_roulette_sub_reward_Message,0x1e61,7777,FC2L
FC2L_ask_game_event_slot_jackpot_play_Message,0x1e52,7762,FC2L
FC2L_ask_game_event_slot_jackpot_reward_Message,0x1e54,7764,FC2L
FC2L_ask_game_event_string_data_Message,0x1e28,7720,FC2L
FC2L_ask_game_event_user_data_Message,0x1e01,7681,FC2L
FC2L_ask_get_cash_define_Message,0x201d,8221,FC2L
FC2L_ask_get_cash_inven_item_Message,0x2010,8208,FC2L
FC2L_ask_get_sdk_reward_Message,0x2016,8214,FC2L
FC2L_ask_get_smart_product_list_Message,0x201f,8223,FC2L
FC2L_ask_go_game_Message,0x020b,523,FC2L
FC2L_ask_google_token_Message,0x0227,551,FC2L
FC2L_ask_guild_attendance_Message,0x0d2a,3370,FC2L
FC2L_ask_guild_attendance_reward_Message,0x0d2c,3372,FC2L
FC2L_ask_guild_auction_bid_Message,0x211f,8479,FC2L
FC2L_ask_guild_auction_bid_member_type_for_base_option_Message,0x2115,8469,FC2L
FC2L_ask_guild_auction_bid_member_type_for_product_Message,0x2117,8471,FC2L
FC2L_ask_guild_auction_chat_Message,,,FC2L
FC2L_ask_guild_auction_config_fast_bidding_Message,0x2119,8473,FC2L
FC2L_ask_guild_auction_infos_Message,0x2102,8450,FC2L
FC2L_ask_guild_auction_set_air_drop_type_default_Message,0x2110,8464,FC2L
FC2L_ask_guild_auction_set_air_drop_type_products_Message,0x210e,8462,FC2L
FC2L_ask_guild_auction_set_bid_reward_default_Message,0x210d,8461,FC2L
FC2L_ask_guild_auction_set_bid_reward_products_Message,0x210b,8459,FC2L
FC2L_ask_guild_auction_set_distribution_type_Message,0x2113,8467,FC2L
FC2L_ask_guild_auction_set_item_fast_bidding_Message,0x211b,8475,FC2L
FC2L_ask_guild_auction_set_item_stop_when_arrived_Message,0x211d,8477,FC2L
FC2L_ask_guild_auction_skip_result_time_Message,0x2127,8487,FC2L
FC2L_ask_guild_auction_sort_Message,0x2109,8457,FC2L
FC2L_ask_guild_auction_start_Message,0x2121,8481,FC2L
FC2L_ask_guild_auction_stop_Message,0x2125,8485,FC2L
FC2L_ask_guild_change_tax_rate_Message,0x0d77,3447,FC2L
FC2L_ask_guild_chat_Message,,,FC2L
FC2L_ask_guild_content_participation_info_Message,0x0daa,3498,FC2L
FC2L_ask_guild_currency_fortress_history_info_Message,0x0da4,3492,FC2L
FC2L_ask_guild_currency_list_Message,0x0d5a,3418,FC2L
FC2L_ask_guild_distribute_safebox_Message,0x0d75,3445,FC2L
FC2L_ask_guild_fortress_info_Message,0x0da6,3494,FC2L
FC2L_ask_guild_gift_list_Message,0x0d8f,3471,FC2L
FC2L_ask_guild_hangar_change_my_ug_Message,0x0d88,3464,FC2L
FC2L_ask_guild_hangar_info_Message,0x0d81,3457,FC2L
FC2L_ask_guild_hangar_member_ug_list_Message,0x0d85,3461,FC2L
FC2L_ask_guild_hangar_my_ug_list_Message,0x0d8a,3466,FC2L
FC2L_ask_guild_hangar_set_ug_Message,0x0d83,3459,FC2L
FC2L_ask_guild_history_info_Message,0x0d9a,3482,FC2L
FC2L_ask_guild_info_Message,,,FC2L
FC2L_ask_guild_info_transfer_Message,0x021d,541,FC2L
FC2L_ask_guild_member_banish_time_info_Message,0x0da2,3490,FC2L
FC2L_ask_guild_member_distribution_amount_info_Message,0x0d79,3449,FC2L
FC2L_ask_guild_members_info_Message,0x0d7b,3451,FC2L
FC2L_ask_guild_minewar_occupy_member_info_Message,0x0d98,3480,FC2L
FC2L_ask_guild_mission_list_Message,0x0d53,3411,FC2L
FC2L_ask_guild_mission_reward_Message,0x0d57,3415,FC2L
FC2L_ask_guild_raid_match_info_Message,0x0d6d,3437,FC2L
FC2L_ask_guild_raid_play_info_Message,0x0d69,3433,FC2L
FC2L_ask_guild_research_Message,0x0d8c,3468,FC2L
FC2L_ask_guild_safebox_history_info_Message,0x0d9e,3486,FC2L
FC2L_ask_guild_set_distribution_amount_Message,0x0d73,3443,FC2L
FC2L_ask_guild_skill_activate_Message,0x0d65,3429,FC2L
FC2L_ask_guild_skill_levelup_Message,0x0d63,3427,FC2L
FC2L_ask_guild_skill_list_Message,0x0d67,3431,FC2L
FC2L_ask_guild_suppression_play_info_Message,0x0d6f,3439,FC2L
FC2L_ask_guild_weekly_ranking_list_Message,0x0d7f,3455,FC2L
FC2L_ask_guild_withdraw_tax_Message,0x0d7d,3453,FC2L
FC2L_ask_identity_verification_Message,0x0213,531,FC2L
FC2L_ask_insert_matchmaking_Message,0x0603,1539,FC2L
FC2L_ask_invite_guild_Message,0x0d19,3353,FC2L
FC2L_ask_invite_to_party_Message,0x111d,4381,FC2L
FC2L_ask_item_collection_bookmark_info_Message,,,FC2L
FC2L_ask_join_party_Message,0x1112,4370,FC2L
FC2L_ask_join_unityalliance_Message,0x2a07,10759,FC2L
FC2L_ask_kick_out_party_Message,,,FC2L
