SubGroupIndex,RewardItemIndex,MinValue,EnchantLevel,BiosuitType
1000020023,900,45,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020024,900,50,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020025,900,55,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020026,900,60,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020027,900,65,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020028,900,71,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020029,900,77,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020030,900,83,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020031,900,89,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020032,900,96,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020033,900,103,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020034,900,110,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020035,900,117,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020036,900,125,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020037,900,133,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020038,900,141,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020039,900,149,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020040,900,159,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020041,900,179,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020042,900,209,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020043,900,249,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020044,900,299,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020045,900,359,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020046,900,429,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020047,900,509,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020048,900,599,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020049,900,689,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020050,900,779,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020051,900,869,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020052,900,969,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020053,900,1069,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020054,900,1169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020055,900,1269,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020056,900,1369,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020057,900,1469,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020058,900,1569,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020059,900,1669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020060,900,1769,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020061,900,1969,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020062,900,2169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020063,900,2469,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020064,900,2869,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020065,900,3369,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020066,900,3969,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020067,900,4569,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020068,900,5169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020069,900,5869,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020070,900,6569,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020071,900,7269,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020072,900,8069,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020073,900,8869,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020074,900,9669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020075,900,10869,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020076,900,12169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020077,900,13469,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020078,900,14769,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020079,900,16069,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020080,900,17469,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020081,900,18919,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020082,900,20419,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020083,900,21969,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020084,900,23569,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020085,900,25219,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020086,900,26919,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020087,900,28669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020088,900,30469,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020089,900,32319,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020090,900,34219,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020091,900,36169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020092,900,40169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020093,900,43669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020094,900,45919,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020095,900,48269,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020096,900,50719,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020097,900,53269,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020098,900,55919,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020099,900,58669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020100,900,61519,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020101,900,64469,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020102,900,67519,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020103,900,70669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020104,900,73919,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020105,900,77269,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020106,900,80719,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020107,900,84269,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020108,900,87919,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020109,900,91669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020110,900,95519,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020111,900,105519,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020112,900,114019,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020113,900,121019,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020114,900,127019,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020115,900,132019,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020116,900,137269,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020117,900,142769,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020118,900,148519,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020119,900,154519,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020120,900,160769,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020121,900,210169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020122,900,220169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020123,900,230419,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020124,900,240919,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020125,900,251669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020126,900,262669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020127,900,273919,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020128,900,285419,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020129,900,297169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020130,900,309169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020131,900,321419,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020132,900,333919,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020133,900,346669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020134,900,359669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020135,900,372919,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020136,900,386419,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020137,900,400169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020138,900,414169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020139,900,428419,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
1000020140,900,442919,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000020001,900,9333800,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000020002,900,13213800,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000020003,900,1345950,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000020004,900,1710950,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000020005,900,2115950,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000020006,900,2560950,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000020007,900,30459500,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000020008,900,87486,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000020009,900,111211,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000020010,900,154888,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000020011,900,204876,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
3000020012,900,16775700,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020091,900,36169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020092,900,38169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020093,900,40219,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020094,900,42319,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020095,900,44469,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020096,900,46669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020097,900,48919,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020098,900,51219,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020099,900,53569,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020100,900,55969,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020101,900,68519,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020102,900,73519,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020103,900,77519,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020104,900,80869,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020105,900,84169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020106,900,90169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020107,900,96419,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020108,900,102919,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020109,900,109669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020110,900,116669,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020111,900,123919,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020112,900,131419,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
61000020113,900,139169,0,eBIOSUIT_TYPE::BIOSUIT_TYPE_BASE
