CollectionIndex,Hide_WorldIndex,CollectionType,CollectionSeparation,Sort,PeriodCollection,Collection1_ItemGroup,Collection1_EnchantLevel,Collection1_Value,Collection2_ItemGroup,Collection2_EnchantLevel,Collection2_Value,Collection3_ItemGroup,Collection3_EnchantLevel,Collection3_Value,Collection4_ItemGroup,Collection4_EnchantLevel,Collection4_Value,Collection5_ItemGroup,Collection5_EnchantLevel,Collection5_Value,Collection6_ItemGroup,Collection6_EnchantLevel,Collection6_Value,Collection7_ItemGroup,Collection7_EnchantLevel,Collection7_Value,Collection8_ItemGroup,Collection8_EnchantLevel,Collection8_Value,Collection9_ItemGroup,Collection9_EnchantLevel,Collection9_Value,Collection10_ItemGroup,Collection10_EnchantLevel,Collection10_Value,RewardStat1_Type,RewardStat1_Value,RewardStat2_Type,RewardStat2_Value,NameStringIndex,MemoryChipType,MemoryChipItemIcon,MemoryChipIcon,MemoryChipImage,RewardStat3_Type,RewardStat3_Value,ContentsString,Collectrion1_EnchantLevel,Collectrion2_EnchantLevel,Collectrion3_EnchantLevel,Collectrion4_EnchantLevel,Collectrion5_EnchantLevel,Collectrion6_EnchantLevel,Collectrion7_EnchantLevel,Collectrion8_EnchantLevel,Collectrion9_EnchantLevel,Collectrion10_EnchantLevel,NamePTBR,RewardStat1_Enum,RewardStat1_NamePTBR,RewardStat2_Enum,RewardStat2_NamePTBR,RewardStat3_Enum,RewardStat3_NamePTBR
1025,[],1,4,600,False,151004,0,1,152004,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,ui_itemCollection_Name_1025,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Local de Perfuração 1,STAT_CRIHITPOW,Chance de Crítico,,,,
1028,[],1,4,600,False,152004,0,1,153004,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,50,0,0,ui_itemCollection_Name_1028,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Local de Perfuração 2,STAT_P_ACCEPTCRIDMGDECRATE,Red. de Dano Crít. FÍS,,,,
1029,[],1,4,600,False,153004,0,1,154004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,50,0,0,ui_itemCollection_Name_1029,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Local de Perfuração 3,STAT_F_ACCEPTCRIDMGDECRATE,Red. de Dano Crít. FOR,,,,
1031,[],1,4,600,False,151005,0,1,152005,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,1,0,0,ui_itemCollection_Name_1031,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Prospector de Novus 1,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP,,,,
1034,[],1,4,600,False,152005,0,1,153005,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,ui_itemCollection_Name_1034,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Prospector de Novus 2,STAT_ATKPOW,ATQ,,,,
1035,[],1,4,600,False,153005,0,1,154005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,ui_itemCollection_Name_1035,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Prospector de Novus 3,STAT_GIVECRIDMGINCRATE,Dano Crít.,,,,
1038,[],1,4,600,False,151006,0,1,152006,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1,0,0,ui_itemCollection_Name_1038,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Remanescentes da Era Primal 1,STAT_FPRECOVERY,Regen. de FP,,,,
1040,[],1,4,600,False,152006,0,1,153006,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,1,0,0,ui_itemCollection_Name_1040,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Remanescentes da Era Primal 2,STAT_P_DEFPIERCE,Penetração de DEF Física,,,,
1041,[],1,4,600,False,153006,0,1,154006,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,50,0,0,ui_itemCollection_Name_1041,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Remanescentes da Era Primal 3,STAT_CREDITDROPINCRATE,Ganho Créditos,,,,
1045,[],1,4,600,False,151007,0,1,152007,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,ui_itemCollection_Name_1045,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis das Planícies da Turbulência 1,STAT_ATKPOW,ATQ,,,,
1046,[],1,4,600,False,152007,0,1,153007,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,ui_itemCollection_Name_1046,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis das Planícies da Turbulência 2,STAT_HITPOW,Precisão,,,,
1047,[],1,4,600,False,153007,0,1,154007,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,ui_itemCollection_Name_1047,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis das Planícies da Turbulência 3,STAT_HITPOW,Precisão,,,,
1048,[],1,4,600,False,151008,0,3,152008,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,ui_itemCollection_Name_1048,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Ermo 1,STAT_DEFPOW,DEF,,,,
1049,[],1,4,600,False,153008,0,1,154008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,30,0,0,ui_itemCollection_Name_1049,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Ermo 2,STAT_MAXHP,HP Máx.,,,,
1050,[],1,4,600,False,151008,0,5,152008,0,5,153008,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,ui_itemCollection_Name_1050,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Ermo 3,STAT_ATKPOW,ATQ,,,,
1051,[],1,4,600,False,151008,0,5,152008,0,5,154008,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,5,0,0,ui_itemCollection_Name_1051,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Ermo 4,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item,,,,
1052,[],1,4,600,False,151008,0,7,152008,0,7,153008,0,5,154008,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,ui_itemCollection_Name_1052,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Ermo 5,STAT_GIVECRIDMGINCRATE,Dano Crít.,,,,
1053,[],1,4,600,False,151008,0,10,152008,0,10,153008,0,7,154008,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,30,0,0,ui_itemCollection_Name_1053,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Ermo 6,STAT_MAXHP,HP Máx.,,,,
1054,[],1,4,600,False,151009,0,3,152009,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0,0,ui_itemCollection_Name_1054,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences dos que Partem 1,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,,,,
1055,[],1,4,600,False,153009,0,1,154009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,2,0,0,ui_itemCollection_Name_1055,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences dos que Partem 2,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP,,,,
1056,[],1,4,600,False,151009,0,5,152009,0,5,153009,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,ui_itemCollection_Name_1056,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences dos que Partem 3,STAT_DEFPOW,DEF,,,,
1057,[],1,4,600,False,151009,0,5,152009,0,5,154009,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,ui_itemCollection_Name_1057,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences dos que Partem 4,STAT_DODGEPOW,Evasão,,,,
1058,[],1,4,600,False,151009,0,7,152009,0,7,153009,0,5,154009,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,1,0,0,ui_itemCollection_Name_1058,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences dos que Partem 5,STAT_FPUSEDEC,Redução de Consumo de FP,,,,
1059,[],1,4,600,False,151009,0,10,152009,0,10,153009,0,7,154009,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2,0,0,ui_itemCollection_Name_1059,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences dos que Partem 6,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate,,,,
1060,[],1,4,600,False,151010,0,3,152010,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,10,0,0,ui_itemCollection_Name_1060,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Recruta 1,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma,,,,
1061,[],1,4,600,False,153010,0,1,154010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,ui_itemCollection_Name_1061,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Recruta 2,STAT_HITPOW,Precisão,,,,
1062,[],1,4,600,False,151010,0,5,152010,0,5,153010,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,ui_itemCollection_Name_1062,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Recruta 3,STAT_CRIHITPOW,Chance de Crítico,,,,
1063,[],1,4,600,False,151010,0,5,152010,0,5,154010,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,ui_itemCollection_Name_1063,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Recruta 4,STAT_ATKPOW,ATQ,,,,
1064,[],1,4,600,False,151010,0,7,152010,0,7,153010,0,5,154010,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,30,0,0,ui_itemCollection_Name_1064,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Recruta 5,STAT_MAXHP,HP Máx.,,,,
1065,[],1,4,600,False,151010,0,10,152010,0,10,153010,0,7,154010,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,ui_itemCollection_Name_1065,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Recruta 6,STAT_ATKPOW,ATQ,,,,
1066,[],1,4,600,False,151011,0,3,152011,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,30,0,0,ui_itemCollection_Name_1066,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Vale Flamejante 1,STAT_MAXHP,HP Máx.,,,,
1067,[],1,4,600,False,153011,0,1,154011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,10,0,0,ui_itemCollection_Name_1067,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Vale Flamejante 2,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma,,,,
1068,[],1,4,600,False,151011,0,5,152011,0,5,153011,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,1,0,0,ui_itemCollection_Name_1068,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Vale Flamejante 3,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP,,,,
1069,[],1,4,600,False,151011,0,5,152011,0,5,154011,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,ui_itemCollection_Name_1069,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Vale Flamejante 4,STAT_DEFPOW,DEF,,,,
1070,[],1,4,600,False,151011,0,7,152011,0,7,153011,0,5,154011,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0,0,ui_itemCollection_Name_1070,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Vale Flamejante 5,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,,,,
1071,[],1,4,600,False,151011,0,10,152011,0,10,153011,0,7,154011,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,1,0,0,ui_itemCollection_Name_1071,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis do Vale Flamejante 6,STAT_FPUSEDEC,Redução de Consumo de FP,,,,
1072,[],1,4,600,False,151012,0,3,152012,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,ui_itemCollection_Name_1072,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Pesquisador Fugitivo 1,STAT_HITPOW,Precisão,,,,
1073,[],1,4,600,False,153012,0,1,154012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,ui_itemCollection_Name_1073,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Pesquisador Fugitivo 2,STAT_CRIHITPOW,Chance de Crítico,,,,
1074,[],1,4,600,False,151012,0,5,152012,0,5,153012,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,5,0,0,ui_itemCollection_Name_1074,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Pesquisador Fugitivo 3,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item,,,,
1075,[],1,4,600,False,151012,0,5,152012,0,5,154012,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,ui_itemCollection_Name_1075,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Pesquisador Fugitivo 4,STAT_DODGEPOW,Evasão,,,,
1076,[],1,4,600,False,151012,0,7,152012,0,7,153012,0,5,154012,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,30,0,0,ui_itemCollection_Name_1076,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Pesquisador Fugitivo 5,STAT_MAXHP,HP Máx.,,,,
1077,[],1,4,600,False,151012,0,10,152012,0,10,153012,0,7,154012,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,ui_itemCollection_Name_1077,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Pertences do Pesquisador Fugitivo 6,STAT_GIVECRIDMGINCRATE,Dano Crít.,,,,
1078,[],1,2,1000,False,151013,0,3,152013,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,ui_itemCollection_Name_1078,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Vinculado pela Gravidade,STAT_HITPOW,Precisão,,,,
1079,[],1,4,600,False,153013,0,1,154013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,2,0,0,ui_itemCollection_Name_1079,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Mementos de Fugitivos Fracassados 1,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP,,,,
1080,[],1,4,600,False,151013,0,5,152013,0,5,153013,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,ui_itemCollection_Name_1080,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Mementos de Fugitivos Fracassados 2,STAT_CRIHITPOW,Chance de Crítico,,,,
1081,[],1,4,600,False,151013,0,5,152013,0,5,154013,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2,0,0,ui_itemCollection_Name_1081,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Mementos de Fugitivos Fracassados 3,STAT_FPUSEDEC,Redução de Consumo de FP,,,,
1082,[],1,4,600,False,151013,0,7,152013,0,7,153013,0,5,154013,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,ui_itemCollection_Name_1082,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Mementos de Fugitivos Fracassados 4,STAT_ATKPOW,ATQ,,,,
1083,[],1,4,600,False,151013,0,10,152013,0,10,153013,0,7,154013,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0,0,ui_itemCollection_Name_1083,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Mementos de Fugitivos Fracassados 5,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,,,,
1084,[],1,2,1000,False,151014,0,3,152014,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,10,0,0,ui_itemCollection_Name_1084,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Sinal de Tragédia,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma,,,,
1085,[],1,4,600,False,153014,0,1,154014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,10,0,0,ui_itemCollection_Name_1085,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Sinais Ominosos 1,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item,,,,
1086,[],1,4,600,False,151014,0,5,152014,0,5,153014,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,ui_itemCollection_Name_1086,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Sinais Ominosos 2,STAT_ATKPOW,ATQ,,,,
1087,[],1,4,600,False,151014,0,5,152014,0,5,154014,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,ui_itemCollection_Name_1087,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Sinais Ominosos 3,STAT_DODGEPOW,Evasão,,,,
1088,[],1,4,600,False,151014,0,7,152014,0,7,153014,0,5,154014,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,4,0,0,ui_itemCollection_Name_1088,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Sinais Ominosos 4,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate,,,,
1089,[],1,4,600,False,151014,0,10,152014,0,10,153014,0,7,154014,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,60,0,0,ui_itemCollection_Name_1089,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Sinais Ominosos 5,STAT_MAXHP,HP Máx.,,,,
1090,[],1,2,1000,False,151015,0,3,152015,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,60,0,0,ui_itemCollection_Name_1090,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Da Colina de Cauldron,STAT_MAXHP,HP Máx.,,,,
1091,[],1,4,600,False,153015,0,1,154015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,4,0,0,ui_itemCollection_Name_1091,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis da Colina de Cauldron 1,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate,,,,
1092,[],1,4,600,False,151015,0,5,152015,0,5,153015,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,30,0,0,ui_itemCollection_Name_1092,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis da Colina de Cauldron 2,STAT_MAXHP,HP Máx.,,,,
1093,[],1,4,600,False,151015,0,5,152015,0,5,154015,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,ui_itemCollection_Name_1093,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis da Colina de Cauldron 3,STAT_ATKPOW,ATQ,,,,
1094,[],1,4,600,False,151015,0,7,152015,0,7,153015,0,5,154015,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,ui_itemCollection_Name_1094,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis da Colina de Cauldron 4,STAT_DODGEPOW,Evasão,,,,
1095,[],1,4,600,False,151015,0,10,152015,0,10,153015,0,7,154015,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,ui_itemCollection_Name_1095,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,Colecionáveis da Colina de Cauldron 5,STAT_HITPOW,Precisão,,,,
