CollectionIndex,Number,StatType,StatValue,StatEnum,StatNamePTBR
1149,2,35,2,STAT_ATKPOW,ATQ
1150,0,0,0,,
1151,0,0,0,,
1152,0,0,0,,
1153,1,37,60,STAT_MAXHP,HP Máx.
1154,2,41,2,STAT_CRIHITPOW,Chance de Crítico
1155,2,147,2,STAT_FPUSEDEC,Redução de Consumo de FP
1156,0,0,0,,
1157,0,0,0,,
1158,0,0,0,,
1159,1,83,1,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1160,2,144,10,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1161,2,37,30,STAT_MAXHP,HP Máx.
1162,0,0,0,,
1163,0,0,0,,
1164,0,0,0,,
1165,1,35,2,STAT_ATKPOW,ATQ
1166,2,148,2,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1167,2,41,2,STAT_CRIHITPOW,Chance de Crítico
1168,0,0,0,,
1169,0,0,0,,
1170,0,0,0,,
1171,1,144,10,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1172,2,85,4,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1173,2,37,60,STAT_MAXHP,HP Máx.
1174,0,0,0,,
1175,0,0,0,,
1176,0,0,0,,
1177,1,144,10,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1178,2,91,15,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1179,2,148,2,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1180,0,0,0,,
1181,0,0,0,,
1182,0,0,0,,
1183,1,37,60,STAT_MAXHP,HP Máx.
1184,2,147,2,STAT_FPUSEDEC,Redução de Consumo de FP
1185,2,85,4,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1186,0,0,0,,
1187,0,0,0,,
1188,0,0,0,,
1189,1,37,60,STAT_MAXHP,HP Máx.
1190,2,41,2,STAT_CRIHITPOW,Chance de Crítico
1191,2,35,2,STAT_ATKPOW,ATQ
1192,0,0,0,,
1193,0,0,0,,
1194,0,0,0,,
1195,1,91,10,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1196,2,40,2,STAT_DODGEPOW,Evasão
1197,2,36,2,STAT_DEFPOW,DEF
1198,0,0,0,,
1199,0,0,0,,
1200,0,0,0,,
1201,1,148,2,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1202,2,83,1,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1203,2,144,10,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1204,0,0,0,,
1205,0,0,0,,
1206,0,0,0,,
1207,1,37,90,STAT_MAXHP,HP Máx.
1208,2,38,3,STAT_HITPOW,Precisão
1209,2,147,3,STAT_FPUSEDEC,Redução de Consumo de FP
1210,0,0,0,,
1211,0,0,0,,
1212,0,0,0,,
1213,1,147,3,STAT_FPUSEDEC,Redução de Consumo de FP
1214,2,41,3,STAT_CRIHITPOW,Chance de Crítico
1215,2,36,3,STAT_DEFPOW,DEF
1216,0,0,0,,
1217,0,0,0,,
1218,0,0,0,,
1219,1,40,3,STAT_DODGEPOW,Evasão
1220,2,91,15,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1221,2,35,3,STAT_ATKPOW,ATQ
1222,0,0,0,,
1223,0,0,0,,
1224,0,0,0,,
1225,1,148,3,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1226,2,144,10,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1227,2,85,6,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1228,0,0,0,,
1229,0,0,0,,
1230,0,0,0,,
1231,1,40,3,STAT_DODGEPOW,Evasão
1232,2,83,1,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1233,2,35,2,STAT_ATKPOW,ATQ
1234,0,0,0,,
1235,0,0,0,,
1236,0,0,0,,
1237,1,85,6,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1238,2,148,3,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1239,2,83,1,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1240,0,0,0,,
1241,0,0,0,,
1242,0,0,0,,
1243,1,40,3,STAT_DODGEPOW,Evasão
1244,2,36,3,STAT_DEFPOW,DEF
1245,2,147,3,STAT_FPUSEDEC,Redução de Consumo de FP
1246,0,0,0,,
1247,0,0,0,,
1248,0,0,0,,
1249,1,38,3,STAT_HITPOW,Precisão
1250,2,93,3,STAT_GIVECRIDMGINCRATE,Dano Crít.
1251,2,144,10,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1252,0,0,0,,
1253,0,0,0,,
1254,0,0,0,,
1255,1,35,1,STAT_ATKPOW,ATQ
1256,2,41,1,STAT_CRIHITPOW,Chance de Crítico
1257,2,91,5,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1258,0,0,0,,
1259,0,0,0,,
1260,0,0,0,,
1261,1,83,1,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1262,2,37,30,STAT_MAXHP,HP Máx.
1263,2,148,1,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1264,0,0,0,,
1265,0,0,0,,
1266,0,0,0,,
1267,1,147,2,STAT_FPUSEDEC,Redução de Consumo de FP
1268,2,38,2,STAT_HITPOW,Precisão
1269,2,41,2,STAT_CRIHITPOW,Chance de Crítico
1270,0,0,0,,
1271,0,0,0,,
1272,0,0,0,,
1273,1,83,1,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1274,2,40,2,STAT_DODGEPOW,Evasão
1275,2,36,2,STAT_DEFPOW,DEF
1276,0,0,0,,
1277,0,0,0,,
1278,0,0,0,,
1279,1,36,1,STAT_DEFPOW,DEF
1280,2,91,5,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1281,2,85,2,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1282,0,0,0,,
1283,0,0,0,,
1284,0,0,0,,
1285,1,37,30,STAT_MAXHP,HP Máx.
1286,2,144,10,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1287,2,35,2,STAT_ATKPOW,ATQ
1288,0,0,0,,
1289,0,0,0,,
1290,0,0,0,,
1291,1,144,10,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1292,2,38,2,STAT_HITPOW,Precisão
1293,2,40,2,STAT_DODGEPOW,Evasão
1294,0,0,0,,
1295,0,0,0,,
1296,0,0,0,,
1297,1,37,30,STAT_MAXHP,HP Máx.
1298,2,147,1,STAT_FPUSEDEC,Redução de Consumo de FP
1299,2,85,2,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1300,0,0,0,,
1301,0,0,0,,
1302,0,0,0,,
1303,1,36,1,STAT_DEFPOW,DEF
1304,2,148,2,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1305,2,41,2,STAT_CRIHITPOW,Chance de Crítico
1306,0,0,0,,
1307,0,0,0,,
1308,0,0,0,,
1309,1,83,1,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1310,2,91,10,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1311,2,35,2,STAT_ATKPOW,ATQ
1312,1,144,20,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1313,0,0,0,,
1314,1,91,15,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1315,1,38,3,STAT_HITPOW,Precisão
1316,2,41,3,STAT_CRIHITPOW,Chance de Crítico
1317,2,33,3,STAT_WEAPONATKPOW,ATQ da Arma
1318,1,144,20,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1319,0,0,0,,
1320,1,91,15,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1321,1,38,3,STAT_HITPOW,Precisão
1322,2,41,3,STAT_CRIHITPOW,Chance de Crítico
1323,2,33,3,STAT_WEAPONATKPOW,ATQ da Arma
1324,1,144,20,STAT_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
1325,0,0,0,,
1326,1,91,15,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1327,1,38,3,STAT_HITPOW,Precisão
1328,2,41,3,STAT_CRIHITPOW,Chance de Crítico
1329,2,33,3,STAT_WEAPONATKPOW,ATQ da Arma
1330,1,105,4,STAT_F_ADDDMG,Dano Fixo de Força
1331,1,102,4,STAT_DOUBLE,Taxa Acer. ATQ Máx.
1332,1,42,4,STAT_CRIRESPOW,Res. a Crítico
1333,1,41,4,STAT_CRIHITPOW,Chance de Crítico
1334,2,40,4,STAT_DODGEPOW,Evasão
1335,2,106,4,STAT_ADDDMG,Dano Fixo
1336,1,105,4,STAT_F_ADDDMG,Dano Fixo de Força
1337,1,102,4,STAT_DOUBLE,Taxa Acer. ATQ Máx.
1338,1,42,4,STAT_CRIRESPOW,Res. a Crítico
1339,1,41,4,STAT_CRIHITPOW,Chance de Crítico
1340,2,40,4,STAT_DODGEPOW,Evasão
1341,2,106,4,STAT_ADDDMG,Dano Fixo
1342,1,105,4,STAT_F_ADDDMG,Dano Fixo de Força
1343,1,102,4,STAT_DOUBLE,Taxa Acer. ATQ Máx.
1344,1,42,4,STAT_CRIRESPOW,Res. a Crítico
1345,1,41,4,STAT_CRIHITPOW,Chance de Crítico
1346,2,40,4,STAT_DODGEPOW,Evasão
1347,2,106,4,STAT_ADDDMG,Dano Fixo
1348,0,0,0,,
1349,0,0,0,,
1350,0,0,0,,
1351,0,0,0,,
1352,0,0,0,,
1353,0,0,0,,
1354,0,0,0,,
1355,0,0,0,,
1356,0,0,0,,
1357,0,0,0,,
1358,0,0,0,,
1359,0,0,0,,
1360,0,0,0,,
1361,0,0,0,,
1362,0,0,0,,
1363,0,0,0,,
1364,0,0,0,,
1365,0,0,0,,
1366,0,0,0,,
1367,0,0,0,,
1368,0,0,0,,
1369,0,0,0,,
1370,0,0,0,,
1371,0,0,0,,
1372,0,0,0,,
1373,0,0,0,,
1374,0,0,0,,
1375,0,0,0,,
1376,0,0,0,,
1377,0,0,0,,
1378,0,0,0,,
1379,0,0,0,,
1380,0,0,0,,
1381,0,0,0,,
1382,0,0,0,,
1383,0,0,0,,
1384,0,0,0,,
1385,0,0,0,,
1386,0,0,0,,
1387,0,0,0,,
1388,0,0,0,,
1389,0,0,0,,
1390,0,0,0,,
1391,0,0,0,,
1392,0,0,0,,
1393,0,0,0,,
1394,0,0,0,,
1395,0,0,0,,
1396,0,0,0,,
1397,0,0,0,,
1398,0,0,0,,
1399,0,0,0,,
1400,0,0,0,,
1401,0,0,0,,
1402,0,0,0,,
1403,0,0,0,,
1404,0,0,0,,
1405,0,0,0,,
1406,0,0,0,,
1407,0,0,0,,
1408,0,0,0,,
1409,0,0,0,,
1410,0,0,0,,
1411,0,0,0,,
1412,0,0,0,,
1413,0,0,0,,
1414,0,0,0,,
1415,0,0,0,,
1416,0,0,0,,
1417,0,0,0,,
1418,0,0,0,,
1419,0,0,0,,
1420,0,0,0,,
1421,0,0,0,,
1422,0,0,0,,
1423,0,0,0,,
1424,0,0,0,,
1425,0,0,0,,
1426,0,0,0,,
1427,0,0,0,,
1428,0,0,0,,
1429,0,0,0,,
1430,0,0,0,,
1431,1,24,3,STAT_F_CRIDMG,Dano Crít. FOR
1432,1,11,3,STAT_P_CRIDMG,Dano Crít. FÍS
1433,1,39,2,STAT_CRIDMG,Dano Crítico
1434,0,0,0,,
1435,2,160,3,STAT_F_DEFPIERCE,Penetração de DEF de Força
1436,2,33,1,STAT_WEAPONATKPOW,ATQ da Arma
1437,2,39,4,STAT_CRIDMG,Dano Crítico
1438,2,102,3,STAT_DOUBLE,Taxa Acer. ATQ Máx.
1439,2,106,1,STAT_ADDDMG,Dano Fixo
1440,0,0,0,,
1441,0,0,0,,
1442,0,0,0,,
1443,1,74,1,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma
1444,1,76,1,STAT_IMPULSIVEPOW,ATQ de Impacto
1445,1,78,1,STAT_CUTTINGPOW,ATQ de Corte
1446,0,0,0,,
1447,2,161,3,STAT_SKILLDMGINC_SINGLE,Dano Fixo de Alvo Único
1448,2,104,2,STAT_P_ADDDMG,Dano Físico Fixo
1449,2,103,2,STAT_DOUBLERES,Res ATQ Máx.
1450,2,7,1,STAT_P_ATKPOW,ATQ Físico
1451,2,20,1,STAT_F_ATKPOW,ATQ de Força
1452,0,0,0,,
1453,0,0,0,,
1454,0,0,0,,
1455,1,105,1,STAT_F_ADDDMG,Dano Fixo de Força
1456,1,37,50,STAT_MAXHP,HP Máx.
1457,1,99,1,STAT_WEAPONATKRES,Res ATQ de Arma
1458,0,0,0,,
1459,2,67,50,STAT_CONRESRATE,Resistência a Debuff
1460,2,42,1,STAT_CRIRESPOW,Res. a Crítico
1461,2,124,50,STAT_KNOCKBACKHITRATE,Taxa de Acerto de Repulsão
1462,2,126,50,STAT_PULLHITRATE,Taxa de Acerto de Puxão
1463,2,96,3,STAT_MAXFPRATE,Aumento de FP Máx.
1464,1,150,2,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio
1465,1,85,1,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1466,1,149,2,STAT_STIFFRESRATE,Resistência a Cambaleio
1467,0,0,0,,
1468,2,147,2,STAT_FPUSEDEC,Redução de Consumo de FP
1469,2,159,2,STAT_P_DEFPIERCE,Penetração de DEF Física
1470,2,97,1,STAT_FPRECOVERY,Regen. de FP
1471,2,21,1,STAT_F_DEFPOW,DEF de Força
1472,2,8,1,STAT_P_DEFPOW,DEF Física
1473,1,147,2,STAT_FPUSEDEC,Redução de Consumo de FP
1474,1,10,2,STAT_P_CRIHITPOW,Taxa Crít. FÍS
1475,1,152,2,STAT_PVE_SUBDMG,Resistência a Dano Fixo PvE
1476,0,0,0,,
1477,2,105,1,STAT_F_ADDDMG,Dano Fixo de Força
1478,2,76,2,STAT_IMPULSIVEPOW,ATQ de Impacto
1479,2,74,2,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma
1480,2,78,2,STAT_CUTTINGPOW,ATQ de Corte
1481,2,38,1,STAT_HITPOW,Precisão
1482,0,0,0,,
1483,0,0,0,,
1484,0,0,0,,
1485,1,22,1,STAT_F_HITPOW,Precisão de Força
1486,1,9,1,STAT_P_HITPOW,Precisão Física
1487,1,40,1,STAT_DODGEPOW,Evasão
1488,0,0,0,,
1489,0,0,0,,
1490,2,28,50,STAT_F_ACCEPTCRIDMGDECRATE,Red. de Dano Crít. FOR
1491,2,15,50,STAT_P_ACCEPTCRIDMGDECRATE,Red. de Dano Crít. FÍS
1492,0,0,0,,
1493,0,0,0,,
1494,0,0,0,,
1495,1,23,2,STAT_F_CRIHITPOW,Taxa Crít. FOR
1496,1,151,2,STAT_PVE_ADDDMG,Dano Fixo PvE
1497,1,161,2,STAT_SKILLDMGINC_SINGLE,Dano Fixo de Alvo Único
1498,0,0,0,,
1499,0,0,0,,
1500,2,156,1,STAT_F_CRIRESPOW,Res. Crít. FOR
1501,2,155,1,STAT_P_CRIRESPOW,Res. Crít. FÍS
1502,0,0,0,,
1503,0,0,0,,
1504,0,0,0,,
1505,1,9,1,STAT_P_HITPOW,Precisão Física
1506,1,22,1,STAT_F_HITPOW,Precisão de Força
1507,1,155,1,STAT_P_CRIRESPOW,Res. Crít. FÍS
1508,0,0,0,,
1509,2,132,50,STAT_SLEEPRESRATE,Resistência a Sono
1510,2,15,50,STAT_P_ACCEPTCRIDMGDECRATE,Red. de Dano Crít. FÍS
1511,2,28,50,STAT_F_ACCEPTCRIDMGDECRATE,Red. de Dano Crít. FOR
1512,0,0,0,,
1513,0,0,0,,
1514,0,0,0,,
1515,1,101,2,STAT_SKILL_DOUBLE,Taxa Acer. ATQ de Hab. MÁX
1516,1,100,2,STAT_NORMAL_DOUBLE,Taxa Acer. ATQ Nor. MÁX
1517,1,147,2,STAT_FPUSEDEC,Redução de Consumo de FP
1518,0,0,0,,
1519,2,41,1,STAT_CRIHITPOW,Chance de Crítico
1520,2,7,1,STAT_P_ATKPOW,ATQ Físico
1521,2,20,1,STAT_F_ATKPOW,ATQ de Força
1522,0,0,0,,
1523,0,0,0,,
1524,0,0,0,,
1525,1,11,2,STAT_P_CRIDMG,Dano Crít. FÍS
1526,1,24,2,STAT_F_CRIDMG,Dano Crít. FOR
1527,1,124,50,STAT_KNOCKBACKHITRATE,Taxa de Acerto de Repulsão
1528,0,0,0,,
1529,2,149,2,STAT_STIFFRESRATE,Resistência a Cambaleio
1530,2,22,2,STAT_F_HITPOW,Precisão de Força
1531,2,9,2,STAT_P_HITPOW,Precisão Física
1532,0,0,0,,
1533,0,0,0,,
1534,0,0,0,,
1535,1,76,2,STAT_IMPULSIVEPOW,ATQ de Impacto
1536,1,74,2,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma
1537,1,78,2,STAT_CUTTINGPOW,ATQ de Corte
1538,0,0,0,,
1539,2,168,50,STAT_HEALINCRATE,Aumento de Rec. de Cura
1540,2,158,2,STAT_F_CRIRESPOWRATE,Aum. de Res Crít. FOR
1541,2,157,2,STAT_P_CRIRESPOWRATE,Aum. de Res Crít. FÍS
1542,0,0,0,,
1543,0,0,0,,
1544,0,0,0,,
1545,1,21,1,STAT_F_DEFPOW,DEF de Força
1546,1,8,1,STAT_P_DEFPOW,DEF Física
1547,1,99,1,STAT_WEAPONATKRES,Res ATQ de Arma
1548,0,0,0,,
1549,2,157,3,STAT_P_CRIRESPOWRATE,Aum. de Res Crít. FÍS
1550,2,20,1,STAT_F_ATKPOW,ATQ de Força
1551,2,7,1,STAT_P_ATKPOW,ATQ Físico
1552,0,0,0,,
1553,0,0,0,,
1554,0,0,0,,
1555,1,78,2,STAT_CUTTINGPOW,ATQ de Corte
1556,1,76,2,STAT_IMPULSIVEPOW,ATQ de Impacto
1557,1,74,2,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma
1558,0,0,0,,
1559,2,162,2,STAT_SKILLDMGINC_MULTI,Dano Fixo em Área
1560,2,23,2,STAT_F_CRIHITPOW,Taxa Crít. FOR
1561,2,10,2,STAT_P_CRIHITPOW,Taxa Crít. FÍS
1562,0,0,0,,
1563,0,0,0,,
1564,0,0,0,,
1565,1,8,1,STAT_P_DEFPOW,DEF Física
1566,1,21,1,STAT_F_DEFPOW,DEF de Força
1567,1,38,1,STAT_HITPOW,Precisão
1568,0,0,0,,
1569,2,159,2,STAT_P_DEFPIERCE,Penetração de DEF Física
1570,2,104,2,STAT_P_ADDDMG,Dano Físico Fixo
1571,2,103,2,STAT_DOUBLERES,Res ATQ Máx.
1572,0,0,0,,
1573,0,0,0,,
1574,0,0,0,,
1575,1,20,1,STAT_F_ATKPOW,ATQ de Força
1576,1,7,1,STAT_P_ATKPOW,ATQ Físico
1577,1,162,2,STAT_SKILLDMGINC_MULTI,Dano Fixo em Área
1578,0,0,0,,
1579,2,36,1,STAT_DEFPOW,DEF
1580,2,100,2,STAT_NORMAL_DOUBLE,Taxa Acer. ATQ Nor. MÁX
1581,2,101,2,STAT_SKILL_DOUBLE,Taxa Acer. ATQ de Hab. MÁX
1582,0,0,0,,
1583,0,0,0,,
1584,0,0,0,,
1585,1,100,2,STAT_NORMAL_DOUBLE,Taxa Acer. ATQ Nor. MÁX
1586,1,101,2,STAT_SKILL_DOUBLE,Taxa Acer. ATQ de Hab. MÁX
1587,1,66,50,STAT_CONHITRATE,Taxa de Acerto de Debuff
1588,0,0,0,,
1589,2,35,1,STAT_ATKPOW,ATQ
1590,2,149,4,STAT_STIFFRESRATE,Resistência a Cambaleio
1591,2,148,4,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1592,0,0,0,,
1593,0,0,0,,
1594,0,0,0,,
1595,1,159,2,STAT_P_DEFPIERCE,Penetração de DEF Física
1596,1,152,1,STAT_PVE_SUBDMG,Resistência a Dano Fixo PvE
1597,1,151,1,STAT_PVE_ADDDMG,Dano Fixo PvE
1598,0,0,0,,
1599,2,93,2,STAT_GIVECRIDMGINCRATE,Dano Crít.
1600,2,28,50,STAT_F_ACCEPTCRIDMGDECRATE,Red. de Dano Crít. FOR
1601,2,15,50,STAT_P_ACCEPTCRIDMGDECRATE,Red. de Dano Crít. FÍS
1602,0,0,0,,
1603,0,0,0,,
1604,0,0,0,,
1605,0,0,0,,
1606,0,0,0,,
1607,0,0,0,,
1608,2,100,3,STAT_NORMAL_DOUBLE,Taxa Acer. ATQ Nor. MÁX
1609,2,23,2,STAT_F_CRIHITPOW,Taxa Crít. FOR
1610,2,9,2,STAT_P_HITPOW,Precisão Física
1611,2,22,2,STAT_F_HITPOW,Precisão de Força
1612,0,0,0,,
1613,0,0,0,,
1614,0,0,0,,
1615,0,0,0,,
1616,0,0,0,,
1617,0,0,0,,
1618,2,149,3,STAT_STIFFRESRATE,Resistência a Cambaleio
1619,2,101,3,STAT_SKILL_DOUBLE,Taxa Acer. ATQ de Hab. MÁX
1620,2,37,210,STAT_MAXHP,HP Máx.
1621,2,7,2,STAT_P_ATKPOW,ATQ Físico
1622,0,0,0,,
1623,0,0,0,,
1624,0,0,0,,
