CollectionType,CollectionItemCount,CompleteReward_Stat1Type,CompleteReward_Stat1Value,CompleteReward_Stat2Type,CompleteReward_Stat2Value,CompleteReward_Stat1Enum,CompleteReward_Stat1NamePTBR,CompleteReward_Stat2Enum,CompleteReward_Stat2NamePTBR
1,970,42,2,77,2,STAT_CRIRESPOW,Res. a Crítico,STAT_CUTTINGRES,DEF de Corte
1,1000,98,2,33,2,STAT_HANGARREUSEDECRATE,Redução de Recarga do Hangar,STAT_WEAPONATKPOW,ATQ da Arma
1,1030,149,2,74,2,STAT_STIFFRESRATE,Resistência a Cambaleio,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma
1,1060,36,2,76,2,STAT_DEFPOW,DEF,STAT_IMPULSIVEPOW,ATQ de Impacto
1,1090,40,2,106,2,STAT_DODGEPOW,Evasão,STAT_ADDDMG,Dano Fixo
1,1120,42,2,160,2,STAT_CRIRESPOW,Res. a Crítico,STAT_F_DEFPIERCE,Penetração de DEF de Força
1,1150,150,2,93,1,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio,STAT_GIVECRIDMGINCRATE,Dano Crít.
1,1180,35,2,83,1,STAT_ATKPOW,ATQ,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1,1210,106,2,85,4,STAT_ADDDMG,Dano Fixo,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1,1240,37,40,157,2,STAT_MAXHP,HP Máx.,STAT_P_CRIRESPOWRATE,Aum. de Res Crít. FÍS
1,1270,76,2,99,2,STAT_IMPULSIVEPOW,ATQ de Impacto,STAT_WEAPONATKRES,Res ATQ de Arma
1,1300,35,2,74,2,STAT_ATKPOW,ATQ,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma
1,1330,37,40,85,4,STAT_MAXHP,HP Máx.,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1,1360,147,2,35,2,STAT_FPUSEDEC,Redução de Consumo de FP,STAT_ATKPOW,ATQ
1,1390,149,2,38,2,STAT_STIFFRESRATE,Resistência a Cambaleio,STAT_HITPOW,Precisão
1,1420,99,2,95,2,STAT_WEAPONATKRES,Res ATQ de Arma,STAT_MAXFP,FP Máx.
1,1450,150,2,93,1,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio,STAT_GIVECRIDMGINCRATE,Dano Crít.
1,1480,147,2,41,2,STAT_FPUSEDEC,Redução de Consumo de FP,STAT_CRIHITPOW,Chance de Crítico
1,1510,42,2,99,2,STAT_CRIRESPOW,Res. a Crítico,STAT_WEAPONATKRES,Res ATQ de Arma
1,1540,148,2,79,2,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP,STAT_PIERCINGRES,DEF Penetr.
1,1570,78,2,149,2,STAT_CUTTINGPOW,ATQ de Corte,STAT_STIFFRESRATE,Resistência a Cambaleio
1,1600,77,2,35,2,STAT_CUTTINGRES,DEF de Corte,STAT_ATKPOW,ATQ
1,1630,37,40,76,2,STAT_MAXHP,HP Máx.,STAT_IMPULSIVEPOW,ATQ de Impacto
1,1660,99,2,150,2,STAT_WEAPONATKRES,Res ATQ de Arma,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio
1,1690,74,2,78,2,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma,STAT_CUTTINGPOW,ATQ de Corte
1,1720,147,2,93,1,STAT_FPUSEDEC,Redução de Consumo de FP,STAT_GIVECRIDMGINCRATE,Dano Crít.
1,1750,95,2,77,2,STAT_MAXFP,FP Máx.,STAT_CUTTINGRES,DEF de Corte
1,1780,78,2,75,2,STAT_CUTTINGPOW,ATQ de Corte,STAT_IMPULSIVERES,DEF de Impacto
1,1810,37,40,149,2,STAT_MAXHP,HP Máx.,STAT_STIFFRESRATE,Resistência a Cambaleio
1,1840,98,2,91,10,STAT_HANGARREUSEDECRATE,Redução de Recarga do Hangar,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1,1870,149,2,83,1,STAT_STIFFRESRATE,Resistência a Cambaleio,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1,1900,99,2,74,2,STAT_WEAPONATKRES,Res ATQ de Arma,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma
1,1930,75,2,150,2,STAT_IMPULSIVERES,DEF de Impacto,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio
1,1960,41,2,95,2,STAT_CRIHITPOW,Chance de Crítico,STAT_MAXFP,FP Máx.
1,1990,40,2,79,2,STAT_DODGEPOW,Evasão,STAT_PIERCINGRES,DEF Penetr.
1,2020,83,1,147,2,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,STAT_FPUSEDEC,Redução de Consumo de FP
1,2050,91,10,79,2,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item,STAT_PIERCINGRES,DEF Penetr.
1,2080,37,40,148,2,STAT_MAXHP,HP Máx.,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1,2110,74,2,77,2,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma,STAT_CUTTINGRES,DEF de Corte
1,2140,33,2,75,2,STAT_WEAPONATKPOW,ATQ da Arma,STAT_IMPULSIVERES,DEF de Impacto
1,2170,35,2,78,2,STAT_ATKPOW,ATQ,STAT_CUTTINGPOW,ATQ de Corte
1,2200,41,2,76,2,STAT_CRIHITPOW,Chance de Crítico,STAT_IMPULSIVEPOW,ATQ de Impacto
1,2230,40,2,83,1,STAT_DODGEPOW,Evasão,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1,2260,83,1,38,2,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,STAT_HITPOW,Precisão
1,2290,148,2,79,2,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP,STAT_PIERCINGRES,DEF Penetr.
1,2320,79,2,78,2,STAT_PIERCINGRES,DEF Penetr.,STAT_CUTTINGPOW,ATQ de Corte
1,2350,149,2,99,2,STAT_STIFFRESRATE,Resistência a Cambaleio,STAT_WEAPONATKRES,Res ATQ de Arma
1,2380,83,1,148,2,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1,2410,78,2,75,2,STAT_CUTTINGPOW,ATQ de Corte,STAT_IMPULSIVERES,DEF de Impacto
1,2440,42,2,147,2,STAT_CRIRESPOW,Res. a Crítico,STAT_FPUSEDEC,Redução de Consumo de FP
1,2470,35,2,95,2,STAT_ATKPOW,ATQ,STAT_MAXFP,FP Máx.
1,2500,150,2,75,2,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio,STAT_IMPULSIVERES,DEF de Impacto
1,2530,79,2,78,2,STAT_PIERCINGRES,DEF Penetr.,STAT_CUTTINGPOW,ATQ de Corte
1,2560,33,2,150,2,STAT_WEAPONATKPOW,ATQ da Arma,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio
1,2590,38,2,76,2,STAT_HITPOW,Precisão,STAT_IMPULSIVEPOW,ATQ de Impacto
1,2620,77,2,42,2,STAT_CUTTINGRES,DEF de Corte,STAT_CRIRESPOW,Res. a Crítico
1,2650,95,2,149,2,STAT_MAXFP,FP Máx.,STAT_STIFFRESRATE,Resistência a Cambaleio
1,2680,149,2,37,40,STAT_STIFFRESRATE,Resistência a Cambaleio,STAT_MAXHP,HP Máx.
1,2710,38,2,83,1,STAT_HITPOW,Precisão,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1,2740,148,2,150,2,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio
1,2770,75,2,74,2,STAT_IMPULSIVERES,DEF de Impacto,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma
1,2800,35,2,41,2,STAT_ATKPOW,ATQ,STAT_CRIHITPOW,Chance de Crítico
1,2830,148,2,42,2,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP,STAT_CRIRESPOW,Res. a Crítico
1,2860,76,2,74,2,STAT_IMPULSIVEPOW,ATQ de Impacto,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma
1,2890,35,2,77,2,STAT_ATKPOW,ATQ,STAT_CUTTINGRES,DEF de Corte
1,2920,38,2,75,2,STAT_HITPOW,Precisão,STAT_IMPULSIVERES,DEF de Impacto
1,2950,33,2,147,2,STAT_WEAPONATKPOW,ATQ da Arma,STAT_FPUSEDEC,Redução de Consumo de FP
1,2980,41,2,38,2,STAT_CRIHITPOW,Chance de Crítico,STAT_HITPOW,Precisão
1,3010,77,2,37,40,STAT_CUTTINGRES,DEF de Corte,STAT_MAXHP,HP Máx.
1,3040,85,3,36,2,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate,STAT_DEFPOW,DEF
1,3070,106,2,83,2,STAT_ADDDMG,Dano Fixo,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração
1,3100,98,2,79,2,STAT_HANGARREUSEDECRATE,Redução de Recarga do Hangar,STAT_PIERCINGRES,DEF Penetr.
1,3130,159,3,37,60,STAT_P_DEFPIERCE,Penetração de DEF Física,STAT_MAXHP,HP Máx.
1,3160,40,2,41,2,STAT_DODGEPOW,Evasão,STAT_CRIHITPOW,Chance de Crítico
1,3190,150,2,36,2,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio,STAT_DEFPOW,DEF
1,3220,97,2,79,2,STAT_FPRECOVERY,Regen. de FP,STAT_PIERCINGRES,DEF Penetr.
1,3250,33,2,91,20,STAT_WEAPONATKPOW,ATQ da Arma,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1,3280,159,3,42,2,STAT_P_DEFPIERCE,Penetração de DEF Física,STAT_CRIRESPOW,Res. a Crítico
1,3310,40,3,162,4,STAT_DODGEPOW,Evasão,STAT_SKILLDMGINC_MULTI,Dano Fixo em Área
1,3340,35,3,85,4,STAT_ATKPOW,ATQ,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1,3370,99,4,75,3,STAT_WEAPONATKRES,Res ATQ de Arma,STAT_IMPULSIVERES,DEF de Impacto
1,3400,106,3,37,180,STAT_ADDDMG,Dano Fixo,STAT_MAXHP,HP Máx.
1,3430,36,3,150,4,STAT_DEFPOW,DEF,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio
1,3460,95,3,76,3,STAT_MAXFP,FP Máx.,STAT_IMPULSIVEPOW,ATQ de Impacto
1,3490,38,3,147,4,STAT_HITPOW,Precisão,STAT_FPUSEDEC,Redução de Consumo de FP
1,3520,39,4,85,4,STAT_CRIDMG,Dano Crítico,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1,3550,93,2,149,4,STAT_GIVECRIDMGINCRATE,Dano Crít.,STAT_STIFFRESRATE,Resistência a Cambaleio
1,3580,95,3,42,3,STAT_MAXFP,FP Máx.,STAT_CRIRESPOW,Res. a Crítico
1,3610,159,4,79,3,STAT_P_DEFPIERCE,Penetração de DEF Física,STAT_PIERCINGRES,DEF Penetr.
1,3640,35,3,37,180,STAT_ATKPOW,ATQ,STAT_MAXHP,HP Máx.
1,3670,41,3,148,4,STAT_CRIHITPOW,Chance de Crítico,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1,3700,162,4,96,3,STAT_SKILLDMGINC_MULTI,Dano Fixo em Área,STAT_MAXFPRATE,Aumento de FP Máx.
1,3730,83,3,74,3,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma
1,3760,39,4,37,260,STAT_CRIDMG,Dano Crítico,STAT_MAXHP,HP Máx.
1,3790,33,3,98,3,STAT_WEAPONATKPOW,ATQ da Arma,STAT_HANGARREUSEDECRATE,Redução de Recarga do Hangar
1,3820,42,3,77,3,STAT_CRIRESPOW,Res. a Crítico,STAT_CUTTINGRES,DEF de Corte
1,3850,36,3,78,3,STAT_DEFPOW,DEF,STAT_CUTTINGPOW,ATQ de Corte
1,3880,41,3,150,4,STAT_CRIHITPOW,Chance de Crítico,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio
1,3910,106,3,95,3,STAT_ADDDMG,Dano Fixo,STAT_MAXFP,FP Máx.
1,3940,40,3,36,3,STAT_DODGEPOW,Evasão,STAT_DEFPOW,DEF
1,3970,38,3,106,3,STAT_HITPOW,Precisão,STAT_ADDDMG,Dano Fixo
1,4000,35,3,37,260,STAT_ATKPOW,ATQ,STAT_MAXHP,HP Máx.
1,4030,33,2,40,2,STAT_WEAPONATKPOW,ATQ da Arma,STAT_DODGEPOW,Evasão
1,4060,102,2,91,10,STAT_DOUBLE,Taxa Acer. ATQ Máx.,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1,4090,106,2,85,2,STAT_ADDDMG,Dano Fixo,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1,4120,96,2,99,2,STAT_MAXFPRATE,Aumento de FP Máx.,STAT_WEAPONATKRES,Res ATQ de Arma
1,4150,41,2,78,2,STAT_CRIHITPOW,Chance de Crítico,STAT_CUTTINGPOW,ATQ de Corte
1,4180,36,2,148,2,STAT_DEFPOW,DEF,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1,4210,97,2,37,40,STAT_FPRECOVERY,Regen. de FP,STAT_MAXHP,HP Máx.
1,4240,76,2,159,2,STAT_IMPULSIVEPOW,ATQ de Impacto,STAT_P_DEFPIERCE,Penetração de DEF Física
1,4270,42,2,149,2,STAT_CRIRESPOW,Res. a Crítico,STAT_STIFFRESRATE,Resistência a Cambaleio
1,4300,102,2,147,2,STAT_DOUBLE,Taxa Acer. ATQ Máx.,STAT_FPUSEDEC,Redução de Consumo de FP
1,4330,35,2,105,2,STAT_ATKPOW,ATQ,STAT_F_ADDDMG,Dano Fixo de Força
1,4360,95,2,40,2,STAT_MAXFP,FP Máx.,STAT_DODGEPOW,Evasão
1,4390,97,2,75,2,STAT_FPRECOVERY,Regen. de FP,STAT_IMPULSIVERES,DEF de Impacto
1,4420,41,2,149,2,STAT_CRIHITPOW,Chance de Crítico,STAT_STIFFRESRATE,Resistência a Cambaleio
1,4450,38,2,162,2,STAT_HITPOW,Precisão,STAT_SKILLDMGINC_MULTI,Dano Fixo em Área
1,4480,36,2,159,2,STAT_DEFPOW,DEF,STAT_P_DEFPIERCE,Penetração de DEF Física
1,4510,79,2,91,10,STAT_PIERCINGRES,DEF Penetr.,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1,4540,42,2,147,2,STAT_CRIRESPOW,Res. a Crítico,STAT_FPUSEDEC,Redução de Consumo de FP
1,4570,98,2,37,40,STAT_HANGARREUSEDECRATE,Redução de Recarga do Hangar,STAT_MAXHP,HP Máx.
1,4600,35,2,77,2,STAT_ATKPOW,ATQ,STAT_CUTTINGRES,DEF de Corte
1,4630,96,2,99,2,STAT_MAXFPRATE,Aumento de FP Máx.,STAT_WEAPONATKRES,Res ATQ de Arma
1,4660,93,1,150,2,STAT_GIVECRIDMGINCRATE,Dano Crít.,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio
1,4690,36,2,148,2,STAT_DEFPOW,DEF,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1,4720,95,2,159,2,STAT_MAXFP,FP Máx.,STAT_P_DEFPIERCE,Penetração de DEF Física
1,4750,42,2,91,10,STAT_CRIRESPOW,Res. a Crítico,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1,4780,83,1,74,2,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma
1,4810,102,2,150,2,STAT_DOUBLE,Taxa Acer. ATQ Máx.,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio
1,4840,33,2,42,2,STAT_WEAPONATKPOW,ATQ da Arma,STAT_CRIRESPOW,Res. a Crítico
1,4870,77,2,37,40,STAT_CUTTINGRES,DEF de Corte,STAT_MAXHP,HP Máx.
1,4900,35,2,99,2,STAT_ATKPOW,ATQ,STAT_WEAPONATKRES,Res ATQ de Arma
1,4930,36,2,102,2,STAT_DEFPOW,DEF,STAT_DOUBLE,Taxa Acer. ATQ Máx.
1,4960,33,2,159,2,STAT_WEAPONATKPOW,ATQ da Arma,STAT_P_DEFPIERCE,Penetração de DEF Física
1,4990,38,2,85,2,STAT_HITPOW,Precisão,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1,5020,40,2,93,1,STAT_DODGEPOW,Evasão,STAT_GIVECRIDMGINCRATE,Dano Crít.
1,5050,36,2,79,2,STAT_DEFPOW,DEF,STAT_PIERCINGRES,DEF Penetr.
1,5080,95,2,37,40,STAT_MAXFP,FP Máx.,STAT_MAXHP,HP Máx.
1,5110,83,1,162,2,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,STAT_SKILLDMGINC_MULTI,Dano Fixo em Área
1,5140,35,2,149,2,STAT_ATKPOW,ATQ,STAT_STIFFRESRATE,Resistência a Cambaleio
1,5170,95,2,97,2,STAT_MAXFP,FP Máx.,STAT_FPRECOVERY,Regen. de FP
1,5200,36,2,74,2,STAT_DEFPOW,DEF,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma
1,5230,38,2,147,2,STAT_HITPOW,Precisão,STAT_FPUSEDEC,Redução de Consumo de FP
1,5260,96,2,159,2,STAT_MAXFPRATE,Aumento de FP Máx.,STAT_P_DEFPIERCE,Penetração de DEF Física
1,5290,75,2,148,2,STAT_IMPULSIVERES,DEF de Impacto,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1,5320,36,2,37,40,STAT_DEFPOW,DEF,STAT_MAXHP,HP Máx.
1,5350,102,2,99,2,STAT_DOUBLE,Taxa Acer. ATQ Máx.,STAT_WEAPONATKRES,Res ATQ de Arma
1,5380,35,2,149,2,STAT_ATKPOW,ATQ,STAT_STIFFRESRATE,Resistência a Cambaleio
1,5410,40,2,79,2,STAT_DODGEPOW,Evasão,STAT_PIERCINGRES,DEF Penetr.
1,5440,36,2,99,2,STAT_DEFPOW,DEF,STAT_WEAPONATKRES,Res ATQ de Arma
1,5470,98,2,93,1,STAT_HANGARREUSEDECRATE,Redução de Recarga do Hangar,STAT_GIVECRIDMGINCRATE,Dano Crít.
1,5500,99,2,102,2,STAT_WEAPONATKRES,Res ATQ de Arma,STAT_DOUBLE,Taxa Acer. ATQ Máx.
1,5530,95,2,105,2,STAT_MAXFP,FP Máx.,STAT_F_ADDDMG,Dano Fixo de Força
1,5560,38,2,37,40,STAT_HITPOW,Precisão,STAT_MAXHP,HP Máx.
1,5590,36,2,76,2,STAT_DEFPOW,DEF,STAT_IMPULSIVEPOW,ATQ de Impacto
1,5620,106,2,147,2,STAT_ADDDMG,Dano Fixo,STAT_FPUSEDEC,Redução de Consumo de FP
1,5650,98,2,149,2,STAT_HANGARREUSEDECRATE,Redução de Recarga do Hangar,STAT_STIFFRESRATE,Resistência a Cambaleio
1,5680,74,2,41,2,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma,STAT_CRIHITPOW,Chance de Crítico
1,5710,40,2,148,2,STAT_DODGEPOW,Evasão,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1,5740,35,2,91,10,STAT_ATKPOW,ATQ,STAT_ITEMDROPRATEINCRATE,Aumento da Chance de Drop de Item
1,5770,36,2,149,2,STAT_DEFPOW,DEF,STAT_STIFFRESRATE,Resistência a Cambaleio
1,5800,38,2,42,2,STAT_HITPOW,Precisão,STAT_CRIRESPOW,Res. a Crítico
1,5830,95,2,93,1,STAT_MAXFP,FP Máx.,STAT_GIVECRIDMGINCRATE,Dano Crít.
1,5860,99,2,149,2,STAT_WEAPONATKRES,Res ATQ de Arma,STAT_STIFFRESRATE,Resistência a Cambaleio
1,5890,36,2,96,2,STAT_DEFPOW,DEF,STAT_MAXFPRATE,Aumento de FP Máx.
1,5920,41,2,99,2,STAT_CRIHITPOW,Chance de Crítico,STAT_WEAPONATKRES,Res ATQ de Arma
1,5950,95,2,102,2,STAT_MAXFP,FP Máx.,STAT_DOUBLE,Taxa Acer. ATQ Máx.
1,5980,33,2,37,240,STAT_WEAPONATKPOW,ATQ da Arma,STAT_MAXHP,HP Máx.
1,6010,41,2,105,2,STAT_CRIHITPOW,Chance de Crítico,STAT_F_ADDDMG,Dano Fixo de Força
1,6040,38,2,76,2,STAT_HITPOW,Precisão,STAT_IMPULSIVEPOW,ATQ de Impacto
1,6070,36,2,149,2,STAT_DEFPOW,DEF,STAT_STIFFRESRATE,Resistência a Cambaleio
1,6100,98,2,75,2,STAT_HANGARREUSEDECRATE,Redução de Recarga do Hangar,STAT_IMPULSIVERES,DEF de Impacto
1,6130,41,2,102,2,STAT_CRIHITPOW,Chance de Crítico,STAT_DOUBLE,Taxa Acer. ATQ Máx.
1,6160,40,2,78,2,STAT_DODGEPOW,Evasão,STAT_CUTTINGPOW,ATQ de Corte
1,6190,35,2,39,2,STAT_ATKPOW,ATQ,STAT_CRIDMG,Dano Crítico
1,6220,83,2,77,2,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,STAT_CUTTINGRES,DEF de Corte
1,6250,36,2,105,2,STAT_DEFPOW,DEF,STAT_F_ADDDMG,Dano Fixo de Força
1,6280,38,2,78,2,STAT_HITPOW,Precisão,STAT_CUTTINGPOW,ATQ de Corte
1,6310,102,2,42,2,STAT_DOUBLE,Taxa Acer. ATQ Máx.,STAT_CRIRESPOW,Res. a Crítico
1,6340,159,2,93,2,STAT_P_DEFPIERCE,Penetração de DEF Física,STAT_GIVECRIDMGINCRATE,Dano Crít.
1,6370,35,2,147,2,STAT_ATKPOW,ATQ,STAT_FPUSEDEC,Redução de Consumo de FP
1,6400,83,2,39,2,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,STAT_CRIDMG,Dano Crítico
1,6430,38,2,75,2,STAT_HITPOW,Precisão,STAT_IMPULSIVERES,DEF de Impacto
1,6460,102,2,40,2,STAT_DOUBLE,Taxa Acer. ATQ Máx.,STAT_DODGEPOW,Evasão
1,6490,41,2,150,2,STAT_CRIHITPOW,Chance de Crítico,STAT_STIFFTIMEDECRATE,Redução da Duração de Cambaleio
1,6520,36,2,37,80,STAT_DEFPOW,DEF,STAT_MAXHP,HP Máx.
1,6550,98,2,105,2,STAT_HANGARREUSEDECRATE,Redução de Recarga do Hangar,STAT_F_ADDDMG,Dano Fixo de Força
1,6580,35,2,78,2,STAT_ATKPOW,ATQ,STAT_CUTTINGPOW,ATQ de Corte
1,6610,40,2,85,2,STAT_DODGEPOW,Evasão,STAT_NONBATTLE_HPRECOVERYRATE,Taxa de Recuperação de HP Fora de Combate
1,6640,106,2,42,2,STAT_ADDDMG,Dano Fixo,STAT_CRIRESPOW,Res. a Crítico
1,6670,159,2,37,80,STAT_P_DEFPIERCE,Penetração de DEF Física,STAT_MAXHP,HP Máx.
1,6700,41,2,77,2,STAT_CRIHITPOW,Chance de Crítico,STAT_CUTTINGRES,DEF de Corte
1,6730,83,2,95,2,STAT_ACTIONSPEEDRATE,Velocidade de Conjuração,STAT_MAXFP,FP Máx.
1,6760,38,2,40,2,STAT_HITPOW,Precisão,STAT_DODGEPOW,Evasão
1,6790,36,2,147,2,STAT_DEFPOW,DEF,STAT_FPUSEDEC,Redução de Consumo de FP
1,6820,35,2,162,2,STAT_ATKPOW,ATQ,STAT_SKILLDMGINC_MULTI,Dano Fixo em Área
1,6850,98,2,74,2,STAT_HANGARREUSEDECRATE,Redução de Recarga do Hangar,STAT_PARRYDMGDECRATE,Red. de Dano do Bloqueio de Arma
1,6880,40,2,148,2,STAT_DODGEPOW,Evasão,STAT_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
1,6910,42,2,37,80,STAT_CRIRESPOW,Res. a Crítico,STAT_MAXHP,HP Máx.
