NPCIndex,NPCNamePTBR,NPCLevel,RewardIndex,SubGroupIndex,EXPBaseMin,ObservedTarget,DifferenceFromObserved
308408,Vulcan Arghol,35,1000105,1000020035,117,16303,-16186
308407,Vulcan Flem,35,1000106,1000020035,117,16303,-16186
308405,Sentinela Crawler Vulcan,35,1000107,1000020035,117,16303,-16186
308406,Guerreiro Crawler Vulcan,36,1000108,1000020036,125,16303,-16178
308401,Rastreador Vulcan Ferinky,36,1000109,1000020036,125,16303,-16178
308402,Sentinela Vulcan Ferinky,36,1000110,1000020036,125,16303,-16178
308403,Invasor Vulcan Ferinky,36,1000111,1000020036,125,16303,-16178
308404,Portuário Lydian Vulcan,36,1000112,1000020036,125,16303,-16178
308411,Vulcan Clod,36,1000113,1000020036,125,16303,-16178
305401,Lagarto Skadi,37,1000114,1000020037,133,16303,-16170
305402,Skadi Fezal,37,1000115,1000020037,133,16303,-16170
305403,Skadi Fera de Guerra,37,1000116,1000020037,133,16303,-16170
305405,Sentinela Skadi Helas,37,1000117,1000020037,133,16303,-16170
305406,Skadi Helas Combatente Mecânico,37,1000118,1000020037,133,16303,-16170
305407,Cavalaria Pesada Skadi Helas,37,1000119,1000020037,133,16303,-16170
305404,Estilhaçador Skadi,38,1000120,1000020038,141,16303,-16162
340201,Sentinela Android,5,1000120,1000020038,141,16303,-16162
340202,Defensor Android,5,1000120,1000020038,141,16303,-16162
340203,Fuzileiro Android,5,1000120,1000020038,141,16303,-16162
340204,Choque de Android,5,1000120,1000020038,141,16303,-16162
340205,Sniper Android,5,1000120,1000020038,141,16303,-16162
340206,Escolta Android,5,1000120,1000020038,141,16303,-16162
340207,Comandante Android,60,1000120,1000020038,141,16303,-16162
305408,Skadi Vafer,38,1000121,1000020038,141,16303,-16162
305409,Skadi Lunker,38,1000122,1000020038,141,16303,-16162
305410,Deserto de Skadi Klon,38,1000123,1000020038,141,16303,-16162
305411,Fera Selvagem Skadi,38,1000124,1000020038,141,16303,-16162
305412,Skadi Dagan,38,1000125,1000020038,141,16303,-16162
306001,Dorian Percevejo Fedorento,39,1000126,1000020039,149,16303,-16154
306002,Lagarto Dorian,39,1000127,1000020039,149,16303,-16154
306003,Dorian Estilhaçador,39,1000128,1000020039,149,16303,-16154
306004,Dorian Guerreiro Nether,39,1000129,1000020039,149,16303,-16154
306005,Dorian Aniquilador Nether,39,1000130,1000020039,149,16303,-16154
306006,Dorian Sentinela Nether,39,1000131,1000020039,149,16303,-16154
306007,Infectado Mutante,39,1000132,1000020039,149,16303,-16154
306011,Soldado Accretia Infectado,39,1000133,1000020039,149,16303,-16154
306008,Lagarto Dorian Infectado,39,1000134,1000020039,149,16303,-16154
306099,,39,1000134,1000020039,149,16303,-16154
306009,Estilhaçador Dorian Infectado,39,1000135,1000020039,149,16303,-16154
306010,Soldado Bellato Infectado,39,1000136,1000020039,149,16303,-16154
306101,Assassino do Submundo Dorian,40,1000137,1000020040,159,16303,-16144
306102,Destruidor de Submundo Dorian,40,1000138,1000020040,159,16303,-16144
306103,Dorian Atirador de Elite Nether,40,1000139,1000020040,159,16303,-16144
306105,Canibal Dorian Infectado,40,1000140,1000020040,159,16303,-16144
306106,Larva Dorian Infectada,40,1000141,1000020040,159,16303,-16144
306107,Sacerdote Cora Infectado,40,1000142,1000020040,159,16303,-16144
306108,Canibal Dorian,40,1000143,1000020040,159,16303,-16144
306109,Larva Dorian,40,1000144,1000020040,159,16303,-16144
306110,Nezad Dorian,40,1000145,1000020040,159,16303,-16144
307505,Clod Cauldron,41,1000146,1000020041,179,16303,-16124
306199,,40,1000147,1000020041,179,16303,-16124
307506,Nyoka Cauldron,41,1000147,1000020041,179,16303,-16124
307508,Silex Cauldron,41,1000148,1000020041,179,16303,-16124
307510,Nezad Cauldron,41,1000149,1000020041,179,16303,-16124
307597,Estilhaçador Selvagem,42,1000150,1000020042,209,16303,-16094
307501,Rastreador de Caldeirão,42,1000151,1000020042,209,16303,-16094
307502,Incendiário do Caldeirão,42,1000152,1000020042,209,16303,-16094
307509,Demolis Cauldron,41,1000153,1000020041,179,16303,-16124
307595,Arghol Selvagem,42,1000154,1000020042,209,16303,-16094
307598,Bork de Assalto Desenfreado,42,1000155,1000020042,209,16303,-16094
307503,Atirador de Caldeirão,42,1000156,1000020042,209,16303,-16094
307504,Brutamontes do Caldeirão,42,1000157,1000020042,209,16303,-16094
307507,Ravenous Cauldron,42,1000158,1000020042,209,16303,-16094
307596,Brutal Selvagem,42,1000159,1000020042,209,16303,-16094
307599,Junker Desenfreado,42,1000160,1000020042,209,16303,-16094
307301,Sniper Ghent Ferinky,43,1000161,1000020043,249,16303,-16054
307302,Ghent Ferinky Lutador,43,1000162,1000020043,249,16303,-16054
307305,,43,1000162,1000020043,249,16303,-16054
307303,Atirador Equesian de Ghent,43,1000163,1000020043,249,16303,-16054
307306,,43,1000163,1000020043,249,16303,-16054
307304,Saqueador Equesian de Ghent,43,1000164,1000020043,249,16303,-16054
307307,Portuário Lydian Ghent,43,1000165,1000020043,249,16303,-16054
307308,Cirurgião Lydian de Ghent,44,1000166,1000020044,299,16303,-16004
307309,Ghent Saura Tropas de Choque,44,1000167,1000020044,299,16303,-16004
307310,Sniper Ghent Saura,44,1000168,1000020044,299,16303,-16004
307311,Guerreiro Nether de Ghent,44,1000169,1000020044,299,16303,-16004
307312,Sentinela Nether de Ghent,44,1000170,1000020044,299,16303,-16004
307313,Aniquilador Nether de Ghent,44,1000171,1000020044,299,16303,-16004
307397,Pathfinder Enfurecido,44,1000172,1000020044,299,16303,-16004
307398,Junker Desenfreado,44,1000173,1000020044,299,16303,-16004
307399,Bork de Assalto Desenfreado,44,1000174,1000020044,299,16303,-16004
307406,Lagarto Galio Infectado,45,1000175,1000020045,359,16303,-15944
307409,Estilhaçador Galio Infectado,45,1000176,1000020045,359,16303,-15944
307405,Galio Nezad Infectado,45,1000177,1000020045,359,16303,-15944
307411,Larva de Galio Infectada,45,1000178,1000020045,359,16303,-15944
307407,Sacerdote Infectado,46,1000179,1000020046,429,16303,-15874
307408,Talpa Infectado,46,1000180,1000020046,429,16303,-15874
307410,Galio Canibal Infectado,46,1000181,1000020046,429,16303,-15874
307414,Estilhaçador Selvagem,46,1000182,1000020046,429,16303,-15874
307420,Soldado Accretia Infectado,46,1000183,1000020046,429,16303,-15874
307421,Canibal Selvagem,46,1000184,1000020046,429,16303,-15874
307422,Fantasma Blindado Enfurecido,46,1000185,1000020046,429,16303,-15874
307401,Galio Guerreiro Nether,45,1000186,1000020045,359,16303,-15944
307403,Galio Sentinela Nether,46,1000187,1000020046,429,16303,-15874
307404,Galio Aniquilador Nether,46,1000188,1000020046,429,16303,-15874
306401,Spire Brutal,47,1000189,1000020047,509,16303,-15794
306402,Spire Infernal Draco,47,1000190,1000020047,509,16303,-15794
306403,Spire Symbi,47,1000191,1000020047,509,16303,-15794
306407,Nipper Vafer Spire,47,1000192,1000020047,509,16303,-15794
306412,Spire Rex Vafer,47,1000193,1000020047,509,16303,-15794
306406,Cinzas da Spire,47,1000194,1000020047,509,16303,-15794
306410,Spire Mortal Vafer,47,1000195,1000020047,509,16303,-15794
306409,Spire Ladino Vafer,47,1000196,1000020047,509,16303,-15794
306408,Spire Saqueador Predo,47,1000197,1000020047,509,16303,-15794
306411,Spire Atirador Predo,47,1000198,1000020047,509,16303,-15794
306405,Fera Selvagem da Spire,47,1000199,1000020047,509,16303,-15794
306404,Spire Anabola,47,1000200,1000020047,509,16303,-15794
306497,Bork de Assalto Desenfreado,47,1000201,1000020047,509,16303,-15794
306498,Brutal Selvagem,47,1000202,1000020047,509,16303,-15794
306499,Simbiote Selvagem,47,1000203,1000020047,509,16303,-15794
306617,Controle Abiectio Bork,48,1000204,1000020048,599,16303,-15704
306618,Abiectio Bork de Assalto,48,1000205,1000020048,599,16303,-15704
306619,Bot de Vigilância Abiectio,48,1000206,1000020048,599,16303,-15704
306620,Abiectio Bork Laser,48,1000207,1000020048,599,16303,-15704
306621,Abiectio Anabola,48,1000208,1000020048,599,16303,-15704
306622,Demolição Abiectio,48,1000209,1000020048,599,16303,-15704
306623,Abiectio Mahr,48,1000210,1000020048,599,16303,-15704
306624,Abiectio Glatt,48,1000211,1000020048,599,16303,-15704
306625,Exílio Infectado,48,1000212,1000020048,599,16303,-15704
306626,Arqueiro Abiectio,48,1000213,1000020048,599,16303,-15704
306627,Arquivista Abiectio,48,1000214,1000020048,599,16303,-15704
306697,Pathfinder Desenfreado,48,1000215,1000020048,599,16303,-15704
306698,Canibal Selvagem,48,1000216,1000020048,599,16303,-15704
306699,Arghol Selvagem,48,1000217,1000020048,599,16303,-15704
308704,Nezad Khran,49,1000218,1000020049,689,16303,-15614
308709,Anabola Khran,49,1000219,1000020049,689,16303,-15614
308701,Percevejo Khran,49,1000220,1000020049,689,16303,-15614
308707,Larva Óptica Khran,49,1000221,1000020049,689,16303,-15614
308708,Lapis Khran,49,1000222,1000020049,689,16303,-15614
308715,Ravenous Khran,49,1000223,1000020049,689,16303,-15614
308716,Arghol Selvagem,49,1000224,1000020049,689,16303,-15614
308717,Fantasma Enfurecido,49,1000225,1000020049,689,16303,-15614
308718,Simbiote Selvagem,49,1000226,1000020049,689,16303,-15614
308712,Khran Mentalista Palid,49,1000227,1000020049,689,16303,-15614
308713,Khran Feiticeiro Palid,50,1000228,1000020050,779,16303,-15524
308714,Khran Guardião Palid,50,1000229,1000020050,779,16303,-15524
308703,Rastreador Khran Ferinky,50,1000230,1000020050,779,16303,-15524
308705,Khran Saqueador Predo,50,1000231,1000020050,779,16303,-15524
308706,Khran Atirador Predo,50,1000232,1000020050,779,16303,-15524
308710,Khran Saqueador Equesian,50,1000233,1000020050,779,16303,-15524
308711,Khran Atirador Equesian,50,1000234,1000020050,779,16303,-15524
308702,Khran Ferinky Lutador,50,1000235,1000020050,779,16303,-15524
306908,Arremessador Snatcher do Pântano,51,1000236,1000020051,869,16303,-15434
306909,Lanceiro Snatcher do Pântano,51,1000237,1000020051,869,16303,-15434
8001,Rastreador de Caldeirão,80,1000238,1000020051,869,16303,-15434
8002,Junker Desenfreado,80,1000238,1000020051,869,16303,-15434
306912,Machadista Snatcher do Pântano,51,1000238,1000020051,869,16303,-15434
306901,Demolis do Pântano,51,1000239,1000020051,869,16303,-15434
306913,Fantasma Enfurecido,51,1000240,1000020051,869,16303,-15434
306918,Arghol Selvagem,51,1000241,1000020051,869,16303,-15434
306902,Demolis Infernal do Pântano,51,1000242,1000020051,869,16303,-15434
306916,Fantasma Blindado Enfurecido,51,1000243,1000020051,869,16303,-15434
306917,Brutal Selvagem,51,1000244,1000020051,869,16303,-15434
306910,Arquivista do Pântano,52,1000245,1000020052,969,16303,-15334
306911,Missionário do Pântano,52,1000246,1000020052,969,16303,-15334
306903,Ladino Vafer do Pântano,52,1000247,1000020052,969,16303,-15334
306904,Pântano Mortal Vafer,52,1000248,1000020052,969,16303,-15334
306905,Anabola do Pântano,51,1000249,1000020051,869,16303,-15434
306906,Ertelem do Pântano,52,1000250,1000020052,969,16303,-15334
306907,Dagan do Pântano,52,1000251,1000020052,969,16303,-15334
306701,Mortum Mahr,53,1000252,1000020053,1069,16303,-15234
306702,Criador Mortum Mahr,53,1000253,1000020053,1069,16303,-15234
306703,Besouro Fedido Mortum,53,1000254,1000020053,1069,16303,-15234
306796,Simbionte Selvagem,54,1000255,1000020054,1169,16303,-15134
306704,Cinzas de Mortum,53,1000256,1000020053,1069,16303,-15234
306705,Mortum Meevlan,53,1000257,1000020053,1069,16303,-15234
306706,Mortum Grumble,53,1000258,1000020053,1069,16303,-15234
306797,Estilhaçador Selvagem,54,1000259,1000020054,1169,16303,-15134
306707,Mortum Saqueador Predo,54,1000260,1000020054,1169,16303,-15134
306708,Atirador Predo Mortum,54,1000261,1000020054,1169,16303,-15134
306709,Mortum Gafftail,54,1000262,1000020054,1169,16303,-15134
306798,Arghol Selvagem,54,1000263,1000020054,1169,16303,-15134
306710,Rastreador Mortum Ferinky,54,1000264,1000020054,1169,16303,-15134
306711,Sniper Mortum Ferinky,54,1000265,1000020054,1169,16303,-15134
306712,Mortum Ferinky Lutador,54,1000266,1000020054,1169,16303,-15134
306799,Bork de Assalto Desenfreado,54,1000267,1000020054,1169,16303,-15134
306806,Ash Ígneo Onyx,55,1000268,1000020055,1269,16303,-15034
306805,Ash Onyx,55,1000269,1000020055,1269,16303,-15034
306801,Lagarto Onyx,55,1000270,1000020055,1269,16303,-15034
306803,Glatt Onyx,55,1000271,1000020055,1269,16303,-15034
306814,Estilhaçador Selvagem,55,1000272,1000020055,1269,16303,-15034
306815,Canibal Selvagem,55,1000273,1000020055,1269,16303,-15034
306816,Fantasma Enfurecido,55,1000274,1000020055,1269,16303,-15034
306804,Canibal Rex Onyx,55,1000275,1000020055,1269,16303,-15034
306807,Larva Infernal Onyx,55,1000276,1000020055,1269,16303,-15034
306802,Ancião Lagarto Onyx,55,1000277,1000020055,1269,16303,-15034
306808,Onyx Zealot,55,1000278,1000020055,1269,16303,-15034
306809,Arquivista Ônix,55,1000279,1000020055,1269,16303,-15034
306811,Iniciador de Fogo Ônix,55,1000280,1000020055,1269,16303,-15034
306812,Purificador de Ônix,55,1000281,1000020055,1269,16303,-15034
307701,Larva Infernal de Ferren,56,1000282,1000020056,1369,16303,-14934
307702,Larva Óptica Ferren,56,1000283,1000020056,1369,16303,-14934
307703,Larva Ferren Infectada,56,1000284,1000020056,1369,16303,-14934
307704,Estilhaçador Ferren Infectado,56,1000285,1000020056,1369,16303,-14934
307705,Sacerdote do Grande Templo Infectado,56,1000286,1000020056,1369,16303,-14934
307706,Talpa Infectado Ascético,56,1000287,1000020056,1369,16303,-14934
307707,Seguidor Infectado,56,1000288,1000020056,1369,16303,-14934
307708,Seguidor Mutante Infectado,56,1000289,1000020056,1369,16303,-14934
307709,Guarda Infectado,56,1000290,1000020056,1369,16303,-14934
307710,Lagarto Ferren Infectado,56,1000291,1000020056,1369,16303,-14934
307797,Canibal Selvagem,56,1000292,1000020056,1369,16303,-14934
307798,Estilhaçador Selvagem,56,1000293,1000020056,1369,16303,-14934
307799,Simbiôntico Selvagem,56,1000294,1000020056,1369,16303,-14934
306501,Hill Arghol,57,1000295,1000020057,1469,16303,-14834
306502,Hill Ertelem,57,1000296,1000020057,1469,16303,-14834
306503,Executor Errante,57,1000297,1000020057,1469,16303,-14834
306504,Colina Lapis,57,1000298,1000020057,1469,16303,-14834
306505,Lápis Hill Rigor,57,1000299,1000020057,1469,16303,-14834
306506,Devorador de Colinas,57,1000300,1000020057,1469,16303,-14834
306507,Sacerdote de Batalha Errante,57,1000301,1000020057,1469,16303,-14834
306508,Larva de Colina,57,1000302,1000020057,1469,16303,-14834
306509,Percevejo Fedorento Hill,57,1000303,1000020057,1469,16303,-14834
306510,Hill Kaigar,57,1000304,1000020057,1469,16303,-14834
306511,Hill Fezal,57,1000305,1000020057,1469,16303,-14834
306512,Hill Limpo,57,1000306,1000020057,1469,16303,-14834
306513,Lanceiro Errante,57,1000307,1000020057,1469,16303,-14834
306514,Carcereiro Errante,57,1000308,1000020057,1469,16303,-14834
306597,Estilhaçador Selvagem,57,1000309,1000020057,1469,16303,-14834
306598,Fantasma Enfurecido,57,1000310,1000020057,1469,16303,-14834
306599,Arghol Selvagem,57,1000311,1000020057,1469,16303,-14834
307001,Peregrino Flem,58,1000312,1000020058,1569,16303,-14734
307097,Arghol Selvagem,58,1000313,1000020058,1569,16303,-14734
307002,Peregrino Kaigar,58,1000314,1000020058,1569,16303,-14734
307003,Lagarto Peregrino,58,1000315,1000020058,1569,16303,-14734
307004,Peregrino Draco,58,1000316,1000020058,1569,16303,-14734
307005,Peregrino Ertelem,58,1000317,1000020058,1569,16303,-14734
307096,Simbiôntico Selvagem,58,1000318,1000020058,1569,16303,-14734
307098,Fantasma Enfurecido,58,1000319,1000020058,1569,16303,-14734
307006,Juiz Peregrino,58,1000320,1000020058,1569,16303,-14734
307007,Arqueiro Peregrino,58,1000321,1000020058,1569,16303,-14734
307008,Carcereiro Peregrino,58,1000322,1000020058,1569,16303,-14734
307009,Arquivista Peregrino,58,1000323,1000020058,1569,16303,-14734
307010,Acolito Peregrino,58,1000324,1000020058,1569,16303,-14734
307099,Fantasma Blindado Enfurecido,58,1000325,1000020058,1569,16303,-14734
307201,Brutal Caído,59,1000326,1000020059,1669,16303,-14634
307202,Mahr Caído,59,1000327,1000020059,1669,16303,-14634
307203,Draco Infernal Caído,59,1000328,1000020059,1669,16303,-14634
307204,Arquivista Caído,59,1000329,1000020059,1669,16303,-14634
307205,Carcereiro Caído,59,1000330,1000020059,1669,16303,-14634
307206,Zelote Caído,59,1000331,1000020059,1669,16303,-14634
307207,Executor Caído,59,1000332,1000020059,1669,16303,-14634
307208,Demolis Caído,60,1000333,1000020060,1769,16303,-14534
307209,Inquisidor Caído,60,1000334,1000020060,1769,16303,-14534
307210,Criador de Mahr Caído,60,1000335,1000020060,1769,16303,-14534
307211,Meevlan Caído,60,1000336,1000020060,1769,16303,-14534
307297,Arghol Selvagem,60,1000337,1000020060,1769,16303,-14534
307298,Estilhaçador Selvagem,60,1000338,1000020060,1769,16303,-14534
307299,Fantasma Enfurecido,60,1000339,1000020060,1769,16303,-14534
307101,Kaigar Numerus,61,1000340,1000020061,1969,16303,-14334
307102,Guerreiro Crawler Numerus,61,1000341,1000020061,1969,16303,-14334
307103,Caçador de Numerus Crawler,61,1000342,1000020061,1969,16303,-14334
307104,Catus Numerus,61,1000343,1000020061,1969,16303,-14334
307105,Lapis Numerus,61,1000344,1000020061,1969,16303,-14334
307106,Lapis Rigor Numerus,61,1000345,1000020061,1969,16303,-14334
307107,Numerus Bandido Equesiano,62,1000346,1000020062,2169,16303,-14134
307108,Numerus Atirador Equesian,62,1000347,1000020062,2169,16303,-14134
307109,Arqueiro Numerus,62,1000348,1000020062,2169,16303,-14134
307110,Numerus Lanceiro,62,1000349,1000020062,2169,16303,-14134
307111,Acolyte de Numerus,62,1000350,1000020062,2169,16303,-14134
307112,Numerus Zelote,62,1000351,1000020062,2169,16303,-14134
307197,Simbiôntico Selvagem,62,1000352,1000020062,2169,16303,-14134
307198,Junker Enfurecido,62,1000353,1000020062,2169,16303,-14134
307199,Fantasma Enfurecido,62,1000354,1000020062,2169,16303,-14134
305304,Combatente Vagabundo Rambler,63,1000355,1000020063,2469,16303,-13834
305306,Retalhador Vagabundo Rambler,63,1000356,1000020063,2469,16303,-13834
305305,Atirador Vagabundo Rambler,63,1000357,1000020063,2469,16303,-13834
305307,Berserker Vagabundo Rambler,63,1000358,1000020063,2469,16303,-13834
305301,Espadachim Mech Rambler,63,1000359,1000020063,2469,16303,-13834
305303,Drone Peep Rambler,63,1000360,1000020063,2469,16303,-13834
305509,,66,1000360,1000020063,2469,16303,-13834
305302,Artilheiro Mecânico Rambler,63,1000361,1000020063,2469,16303,-13834
305308,Grumble Rambler,63,1000362,1000020063,2469,16303,-13834
305309,Grumble Gancho Rambler,63,1000363,1000020063,2469,16303,-13834
305310,Glatt Rambler,63,1000364,1000020063,2469,16303,-13834
305311,Lapis Rambler,63,1000365,1000020063,2469,16303,-13834
305502,,66,1000365,1000020063,2469,16303,-13834
305312,Lunker Rambler,63,1000366,1000020063,2469,16303,-13834
305510,,66,1000366,1000020063,2469,16303,-13834
305397,Junker Desenfreado,63,1000367,1000020063,2469,16303,-13834
305398,Bork de Assalto Desenfreado,63,1000368,1000020063,2469,16303,-13834
305399,Estilhaçador Selvagem,63,1000369,1000020063,2469,16303,-13834
312508,Catus Blackstone,64,1000370,1000020064,2869,16303,-13434
305512,,53,1000371,1000020064,2869,16303,-13434
312509,Estilhaçador Blackstone,64,1000371,1000020064,2869,16303,-13434
305513,,53,1000372,1000020064,2869,16303,-13434
312510,Grumble de Blackstone,64,1000372,1000020064,2869,16303,-13434
312503,Guerreiro Blackstone,64,1000373,1000020064,2869,16303,-13434
312504,Atirador Blackstone,64,1000374,1000020064,2869,16303,-13434
