StatType,StatEnum,StatNameKey,StatNamePTBR
109,STAT_SUBDMG,Enum_eSTATUS_SUBDMG,Res. Dano Fixo
110,STAT_DEFPIERCE,Enum_eSTATUS_DEFPIERCE,Penetração de DEF
111,STAT_P_DODGEPOW,Enum_eSTATUS_P_DODGEPOW,Evasão Física
112,STAT_F_DODGEPOW,Enum_eSTATUS_F_DODGEPOW,Evasão de Força
113,STAT_P_DODGEPOWRATE,Enum_eSTATUS_P_DODGEPOWRATE,Aumento de Evasão Física
114,STAT_F_DODGEPOWRATE,Enum_eSTATUS_F_DODGEPOWRATE,Aumento de Evasão de Força
115,STAT_SKILLDMGINCRATE_ALL,Enum_eSTATUS_SKILLDMGINCRATE_ALL,Aum. de Dano de Hab.
116,STAT_SKILLDMGDECRATE_ALL,Enum_eSTATUS_SKILLDMGDECRATE_ALL,Red. de Dano de Hab.
117,STAT_HOLDHITRATE,Enum_eSTATUS_HOLDHITRATE,Taxa de Acerto de Imobilização
118,STAT_FEARHITRATE,Enum_eSTATUS_FEARHITRATE,Taxa de Acerto de Medo
119,STAT_STUNHITRATE,Enum_eSTATUS_STUNHITRATE,Taxa de Acerto de Atordoamento
120,STAT_PROVOCATIONHITRATE,Enum_eSTATUS_PROVOCATIONHITRATE,Taxa de Acerto de Provocação
121,STAT_SLEEPHITRATE,Enum_eSTATUS_SLEEPHITRATE,Taxa de Acerto de Sono
122,STAT_BLINDHITRATE,Enum_eSTATUS_BLINDHITRATE,Taxa de Acerto de Cegueira
123,STAT_SILENCEHITRATE,Enum_eSTATUS_SILENCEHITRATE,Taxa de Acerto de Silêncio
124,STAT_KNOCKBACKHITRATE,Enum_eSTATUS_KNOCKBACKHITRATE,Taxa de Acerto de Repulsão
125,STAT_KNOCKDOWNHITRATE,Enum_eSTATUS_KNOCKDOWNHITRATE,Taxa de Acerto de Derrubada
126,STAT_PULLHITRATE,Enum_eSTATUS_PULLHITRATE,Taxa de Acerto de Puxão
127,STAT_AIRBORNEHITRATE,Enum_eSTATUS_AIRBORNEHITRATE,Taxa de Acerto de Arremesso Aéreo
128,STAT_HOLDRESRATE,Enum_eSTATUS_HOLDRESRATE,Resistência a Imobilização
129,STAT_FEARRESRATE,Enum_eSTATUS_FEARRESRATE,Resistência a Medo
130,STAT_STUNRESRATE,Enum_eSTATUS_STUNRESRATE,Resistência a Atordoamento
131,STAT_PROVOCATIONRESRATE,Enum_eSTATUS_PROVOCATIONRESRATE,Resistência a Provocação
132,STAT_SLEEPRESRATE,Enum_eSTATUS_SLEEPRESRATE,Resistência a Sono
133,STAT_BLINDRESRATE,Enum_eSTATUS_BLINDRESRATE,Resistência a Cegueira
134,STAT_SILENCERESRATE,Enum_eSTATUS_SILENCERESRATE,Resistência a Silêncio
135,STAT_KNOCKBACKRESRATE,Enum_eSTATUS_KNOCKBACKRESRATE,Resistência a Repulsão
136,STAT_KNOCKDOWNRESRATE,Enum_eSTATUS_KNOCKDOWNRESRATE,Resistência a Derrubada
137,STAT_PULLRESRATE,Enum_eSTATUS_PULLRESRATE,Resistência a Puxão
138,STAT_AIRBORNERESRATE,Enum_eSTATUS_AIRBORNERESRATE,Resistência a Arremesso Aéreo
139,STAT_CONTIMEINCRATE,Enum_eSTATUS_CONTIMEINCRATE,Aumento de Duração de Debuff
140,STAT_CONTIMEDECRATE,Enum_eSTATUS_CONTIMEDECRATE,Redução da Duração de Debuff
141,STAT_REFIGNORERATE,Enum_eSTATUS_REFIGNORERATE,Penet. Dano Reflet.
142,STAT_REFDMGDECRATE,Enum_eSTATUS_REFDMGDECRATE,Red. de Dano Reflet.
143,STAT_PARRYIGNORERATE,Enum_eSTATUS_PARRYIGNORERATE,Penetração de Bloqueio de Arma
144,STAT_PARRYPENETATERATE,Enum_eSTATUS_PARRYPENETATERATE,Ignorar Red. de Dano do Bloqueio de Arma
145,STAT_BLOCKIGNORERATE,Enum_eSTATUS_BLOCKIGNORERATE,Penetração de Bloqueio de Escudo
146,STAT_BLOCKPENETRATERATE,Enum_eSTATUS_BLOCKPENETRATERATE,Igora a Taxa de Redução de Dano do Bloqueio de Escudo
147,STAT_FPUSEDEC,Enum_eSTATUS_FPUSEDEC,Redução de Consumo de FP
148,STAT_POTIONRECOVERYMAXVALUE,Enum_eSTATUS_POTIONRECOVERYMAXVALUE,Contagem de Inj. de HP
149,STAT_STIFFRESRATE,Enum_eSTATUS_STIFFRESRATE,Resistência a Cambaleio
150,STAT_STIFFTIMEDECRATE,Enum_eSTATUS_STIFFTIMEDECRATE,Redução da Duração de Cambaleio
151,STAT_PVE_ADDDMG,Enum_eSTATUS_PVE_ADDDMG,Dano Fixo PvE
152,STAT_PVE_SUBDMG,Enum_eSTATUS_PVE_SUBDMG,Resistência a Dano Fixo PvE
153,STAT_PVP_ADDDMG,Enum_eSTATUS_PVP_ADDDMG,Dano Fixo PvP
154,STAT_PVP_SUBDMG,Enum_eSTATUS_PVP_SUBDMG,Resistência a Dano Fixo PvP
155,STAT_P_CRIRESPOW,Enum_eSTATUS_P_CRIRESPOW,Res. Crít. FÍS
156,STAT_F_CRIRESPOW,Enum_eSTATUS_F_CRIRESPOW,Res. Crít. FOR
157,STAT_P_CRIRESPOWRATE,Enum_eSTATUS_P_CRIRESPOWRATE,Aum. de Res Crít. FÍS
158,STAT_F_CRIRESPOWRATE,Enum_eSTATUS_F_CRIRESPOWRATE,Aum. de Res Crít. FOR
159,STAT_P_DEFPIERCE,Enum_eSTATUS_P_DEFPIERCE,Penetração de DEF Física
160,STAT_F_DEFPIERCE,Enum_eSTATUS_F_DEFPIERCE,Penetração de DEF de Força
161,STAT_SKILLDMGINC_SINGLE,Enum_eSTATUS_SKILLDMGINC_SINGLE,Dano Fixo de Alvo Único
162,STAT_SKILLDMGINC_MULTI,Enum_eSTATUS_SKILLDMGINC_MULTI,Dano Fixo em Área
163,STAT_SKILLDMGINC_ALL,Enum_eSTATUS_SKILLDMGINC_ALL,Dano de Hab. Fixa
164,STAT_SKILLDMGDEC_SINGLE,Enum_eSTATUS_SKILLDMGDEC_SINGLE,Resistência a Dano Fixo de Hab. de Alvo Único
165,STAT_SKILLDMGDEC_MULTI,Enum_eSTATUS_SKILLDMGDEC_MULTI,Resistência a Dano Fixo de Hab. em Área
166,STAT_SKILLDMGDEC_ALL,Enum_eSTATUS_SKILLDMGDEC_ALL,Resistência de Dano de Hab. Fixa
167,STAT_HEALINC,Enum_eSTATUS_HEALINC,Recup. de Cura
168,STAT_HEALINCRATE,Enum_eSTATUS_HEALINCRATE,Aumento de Rec. de Cura
169,STAT_HEALDEC,Enum_eSTATUS_HEALDEC,Diminuição da Rec. de Hab. de Cura
170,STAT_HEALDECRATE,Enum_eSTATUS_HEALDECRATE,Redução de Rec. de Hab. de Cura
171,STAT_FPUSEDECRATE,Enum_eSTATUS_FPUSEDECRATE,Redução de Custo de FP
172,STAT_FROZENHITRATE,Enum_eSTATUS_FROZENHITRATE,Taxa de Acerto de Congelamento
173,STAT_FROZENRESRATE,Enum_eSTATUS_FROZENRESRATE,Resistência a Congelamento
174,STAT_UG_EMPHITRATE,Enum_eSTATUS_UG_EMPHITRATE,Taxa de Acerto de EMP
175,STAT_UG_EMPRESRATE,Enum_eSTATUS_UG_EMPRESRATE,Resistência a EMP
176,STAT_UG_HACKINGHITRATE,Enum_eSTATUS_UG_HACKINGHITRATE,Taxa de Acerto de Hackeamento
177,STAT_UG_HACKINGRESRATE,Enum_eSTATUS_UG_HACKINGRESRATE,Resistência a Hackeamento
178,STAT_UG_RESTRICTIONHITRATE,Enum_eSTATUS_UG_RESTRICTIONHITRATE,Taxa de Acerto de Restrição
179,STAT_UG_RESTRICTIONRESRATE,Enum_eSTATUS_UG_RESTRICTIONRESRATE,Resistência a Restrição
180,STAT_UG_HPREPAIRRATE,UG_HPREPAIRRATE,Recuperação por minuto após a implantação
181,STAT_PVE_DEFPIERCE,Enum_eSTATUS_PVE_DEFPIERCE,Penetr. DEF PvE
182,STAT_PVP_DEFPIERCE,Enum_eSTATUS_PVP_DEFPIERCE,Penetração de DEF PvP
183,STAT_CASH_PVE_DEFPIERCE,Enum_eSTATUS_CASH_PVE_DEFPIERCE,Atacar Fraqueza do Monstro
184,STAT_ADDSTIFFHITRATE,Enum_eSTATUS_ADDSTIFFHITRATE,Tx Cambaleio Extra
185,STAT_EP_HYPERGRAVITYRESPOW,Enum_eSTATUS_EP_HYPERGRAVITYRESPOW,Resistência à Hipergravidade
186,STAT_SP_ADDDMG,Enum_eSTATUS_SP_ADDDMG,Dano Mínimo Fixo
187,STAT_PVE_DODGEPOW,Enum_eSTATUS_PVE_DODGEPOW,Evasão Fixa PvE
188,STAT_REALM_CONTRIBUTION_DROPINCRATE,Enum_REALM_CONTRIBUTION_DROPINCRATE,Ganho de Contribuição da Facção
189,STAT_PVP_PROTECTION,Enum_eSTATUS_PVP_PROTECTION,Mitigação de Dano PvP
190,STAT_SP_HITPOW,Enum_eSTATUS_SP_HITPOW,
191,STAT_EP_CRIMSONEROSIONRESPOW,Enum_eSTATUS_EP_CRIMSONEROSIONRESPOW,Resistência à Erosão Carmesim
