mapa,spot_andar,npc_id,mob_level,exp_base,mob_name
Arsenal de Beltran,Perímetro Externo do Arsenal de Beltran,305907,12,12,Beltran Soma Tropas de Choque
Arsenal de Beltran,Perímetro Externo do Arsenal de Beltran,305908,12,12,Drone de Patrulha Beltran
Arsenal de Beltran,Ruína do Arsenal de Beltran,305906,11,11,Sentinela Soma Beltran
Arsenal de Beltran,Ruína do Arsenal de Beltran,305907,12,12,Beltran Soma Tropas de Choque
Arsenal de Beltran,Sede do Arsenal de Beltran,305909,12,12,Sentinela Beltran
Arsenal de Beltran,Sede do Arsenal de Beltran,305912,13,14,Beltran Passer Alpha
Arsenal de Beltran,Sede do Arsenal de Beltran,305911,13,14,Cavalaria Pesada Beltran
Arsenal de Beltran,Sede do Arsenal de Beltran,305913,13,14,Mercenário Beltran Crawler
Arsenal de Beltran,Sede do Arsenal de Beltran,305910,13,14,Super Soldado Beltran
Instalação de Suprimento Orbital,Doca A-02,4504029,94,50719,Bork de Assalto Desenfreado
Instalação de Suprimento Orbital,Doca A-02,4504021,94,50719,Guerreiro Mecânico A02
Instalação de Suprimento Orbital,Doca A-02,4504022,94,50719,Gunner Mecânico A02
Instalação de Suprimento Orbital,Doca A-03,4504039,94,50719,Bork de Assalto Desenfreado
Instalação de Suprimento Orbital,Doca A-03,4504031,94,50719,Guerreiro Mecânico A03
Instalação de Suprimento Orbital,Doca A-03,4504032,94,50719,Gunner de Mech A03
Instalação de Suprimento Orbital,Doca A-04,4504041,99,64469,Assaltante A04 Snatcher
Instalação de Suprimento Orbital,Doca A-04,4504049,99,64469,Pathfinder Desenfreado
Instalação de Suprimento Orbital,Doca A-04,4504042,99,64469,Sniper A04 Snatcher
Instalação de Suprimento Orbital,Doca A-05,4504051,99,64469,A05 Saqueador Snatcher
Instalação de Suprimento Orbital,Doca A-05,4504059,99,64469,Pathfinder Desenfreado
Instalação de Suprimento Orbital,Doca A-05,4504052,99,64469,Sniper A05 Snatcher
Instalação de Suprimento Orbital,Doca A-06,4504061,99,64469,A06 Saqueador Snatcher
Instalação de Suprimento Orbital,Doca A-06,4504069,99,64469,Pathfinder Desenfreado
Instalação de Suprimento Orbital,Doca A-06,4504062,99,64469,Sniper A06 Snatcher
Instalação de Suprimento Orbital,Doca A-06,4504064,99,64469,Soldado de Cerco Vafer A06
Instalação de Suprimento Orbital,Doca A-06,4504063,99,64469,Tropa Pesada Vafer A06
Instalação de Suprimento Orbital,Doca A-07,4504071,104,80719,A07 Guerreiro Nether
Instalação de Suprimento Orbital,Doca A-07,4504079,104,80719,Fantasma Blindado Enfurecido
Instalação de Suprimento Orbital,Doca A-07,4504072,104,80719,Sentinela Nether A07
Instalação de Suprimento Orbital,Doca A-08,4504081,104,80719,A08 Guerreiro Nether
Instalação de Suprimento Orbital,Doca A-08,4504083,104,80719,Aniquilador Nether A08
Instalação de Suprimento Orbital,Doca A-08,4504089,104,80719,Fantasma Blindado Enfurecido
Instalação de Suprimento Orbital,Doca A-08,4504082,104,80719,Sentinela Nether A08
Instalação de Suprimento Orbital,Doca A-09,4504091,104,80719,A09 Guerreiro Nether
Instalação de Suprimento Orbital,Doca A-09,4504092,104,80719,A09 Sentinela Nether
Instalação de Suprimento Orbital,Doca A-09,4504093,104,80719,Aniquilador Nether A09
Instalação de Suprimento Orbital,Doca A-09,4504099,104,80719,Fantasma Blindado Enfurecido
Instalação de Suprimento Orbital,Doca B-02,4504122,94,50719,B02 Artilheiro Mecânico
Instalação de Suprimento Orbital,Doca B-02,4504129,94,50719,Bork de Assalto Desenfreado
Instalação de Suprimento Orbital,Doca B-02,4504121,94,50719,Guerreiro Mecânico B02
Instalação de Suprimento Orbital,Doca B-03,4504139,94,50719,Bork de Assalto Desenfreado
Instalação de Suprimento Orbital,Doca B-03,4504131,94,50719,Guerreiro Mecânico B03
Instalação de Suprimento Orbital,Doca B-03,4504132,94,50719,Gunner Mech B03
Instalação de Suprimento Orbital,Doca B-04,4504141,99,64469,B04 Saqueador Snatcher
Instalação de Suprimento Orbital,Doca B-04,4504149,99,64469,Pathfinder Desenfreado
Instalação de Suprimento Orbital,Doca B-04,4504142,99,64469,Sniper B04 Snatcher
Instalação de Suprimento Orbital,Doca B-05,4504151,99,64469,B05 Saqueador Snatcher
Instalação de Suprimento Orbital,Doca B-05,4504159,99,64469,Pathfinder Desenfreado
Instalação de Suprimento Orbital,Doca B-05,4504152,99,64469,Sniper B05 Snatcher
Instalação de Suprimento Orbital,Doca B-06,4504161,99,64469,B06 Saqueador Snatcher
Instalação de Suprimento Orbital,Doca B-06,4504164,99,64469,B06 Vafer Soldado de Cerco
Instalação de Suprimento Orbital,Doca B-06,4504163,99,64469,B06 Vafer Soldado Pesado
Instalação de Suprimento Orbital,Doca B-06,4504169,99,64469,Pathfinder Desenfreado
Instalação de Suprimento Orbital,Doca B-06,4504162,99,64469,Sniper B06 Snatcher
Instalação de Suprimento Orbital,Doca B-07,4504172,104,80719,B07 Sentinela Nether
Instalação de Suprimento Orbital,Doca B-07,4504179,104,80719,Fantasma Blindado Enfurecido
Instalação de Suprimento Orbital,Doca B-07,4504171,104,80719,Guerreiro Nether B07
Instalação de Suprimento Orbital,Doca B-08,4504183,104,80719,B08 Aniquilador Nether
Instalação de Suprimento Orbital,Doca B-08,4504181,104,80719,B08 Guerreiro Nether
Instalação de Suprimento Orbital,Doca B-08,4504182,104,80719,B08 Sentinela Nether
Instalação de Suprimento Orbital,Doca B-08,4504189,104,80719,Fantasma Blindado Enfurecido
Instalação de Suprimento Orbital,Doca B-09,4504193,104,80719,B09 Aniquilador Nether
Instalação de Suprimento Orbital,Doca B-09,4504199,104,80719,Fantasma Blindado Enfurecido
Instalação de Suprimento Orbital,Doca B-09,4504191,104,80719,Guerreiro Nether B09
Instalação de Suprimento Orbital,Doca B-09,4504192,104,80719,Sentinela Nether B09
Instalação de Suprimento Orbital,Doca C-02,4504222,94,50719,Artilheiro Mecânico C02
Instalação de Suprimento Orbital,Doca C-02,4504229,94,50719,Bork de Assalto Desenfreado
Instalação de Suprimento Orbital,Doca C-02,4504221,94,50719,Guerreiro Mecânico C02
Instalação de Suprimento Orbital,Doca C-03,4504239,94,50719,Bork de Assalto Desenfreado
Instalação de Suprimento Orbital,Doca C-03,4504232,94,50719,C03 Artilheiro Mecânico
Instalação de Suprimento Orbital,Doca C-03,4504231,94,50719,Guerreiro Mecânico C03
Instalação de Suprimento Orbital,Doca C-04,4504241,99,64469,C04 Saqueador Snatcher
Instalação de Suprimento Orbital,Doca C-04,4504242,99,64469,C04 Sniper Snatcher
Instalação de Suprimento Orbital,Doca C-04,4504249,99,64469,Pathfinder Desenfreado
Instalação de Suprimento Orbital,Doca C-05,4504251,99,64469,C05 Saqueador Snatcher
Instalação de Suprimento Orbital,Doca C-05,4504252,99,64469,C05 Sniper Snatcher
Instalação de Suprimento Orbital,Doca C-05,4504259,99,64469,Pathfinder Desenfreado
Instalação de Suprimento Orbital,Doca C-06,4504261,99,64469,C06 Saqueador Snatcher
Instalação de Suprimento Orbital,Doca C-06,4504262,99,64469,C06 Sniper Snatcher
Instalação de Suprimento Orbital,Doca C-06,4504264,99,64469,C06 Vafer Soldado de Cerco
Instalação de Suprimento Orbital,Doca C-06,4504263,99,64469,C06 Vafer Soldado Pesado
Instalação de Suprimento Orbital,Doca C-06,4504269,99,64469,Pathfinder Desenfreado
Instalação de Suprimento Orbital,Doca C-07,4504271,104,80719,C07 Guerreiro Nether
Instalação de Suprimento Orbital,Doca C-07,4504272,104,80719,C07 Sentinela Nether
Instalação de Suprimento Orbital,Doca C-07,4504279,104,80719,Fantasma Blindado Enfurecido
Instalação de Suprimento Orbital,Doca C-08,4504283,104,80719,Aniquilador Nether C08
Instalação de Suprimento Orbital,Doca C-08,4504281,104,80719,C08 Guerreiro Nether
Instalação de Suprimento Orbital,Doca C-08,4504282,104,80719,C08 Sentinela Nether
Instalação de Suprimento Orbital,Doca C-08,4504289,104,80719,Fantasma Blindado Enfurecido
Instalação de Suprimento Orbital,Doca C-09,4504293,104,80719,Aniquilador Nether C09
Instalação de Suprimento Orbital,Doca C-09,4504291,104,80719,C09 Guerreiro Nether
Instalação de Suprimento Orbital,Doca C-09,4504299,104,80719,Fantasma Blindado Enfurecido
Instalação de Suprimento Orbital,Doca C-09,4504292,104,80719,Sentinela Nether C09
Instalação de Suprimento Orbital,Doca S-01,4504329,106,95519,Invasor de Elite Desenfreado
Instalação de Suprimento Orbital,Doca S-01,4504321,106,95519,Recon Hiveguard
Instalação de Suprimento Orbital,Doca S-01,4504322,106,95519,Striker Hiveguard
Instalação de Suprimento Orbital,Doca S-01,4504323,106,95519,Vanguarda Hiveguard
Instalação de Suprimento Orbital,Doca S-02,4504332,106,95519,EOD Striker
Instalação de Suprimento Orbital,Doca S-02,4504339,106,95519,Invasor de Elite Desenfreado
Instalação de Suprimento Orbital,Doca S-02,4504331,106,95519,Recon EOD
Instalação de Suprimento Orbital,Doca S-02,4504333,106,95519,Vanguarda EOD
Instalação de Suprimento Orbital,Doca S-03,4504342,106,95519,Guarda do Cemitério Striker
Instalação de Suprimento Orbital,Doca S-03,4504341,106,95519,Recon de Guarda do Cemitério
Instalação de Suprimento Orbital,Doca S-03,4504349,106,95519,Saqueador de Elite Enfurecido
Instalação de Suprimento Orbital,Doca S-03,4504343,106,95519,Vanguarda de Guarda do Cemitério
Instalação de Suprimento Orbital,Forja Celeste,4504311,106,95519,Recon Nestkeeper
Instalação de Suprimento Orbital,Forja Celeste,4504319,106,95519,Saqueador de Elite Enfurecido
Instalação de Suprimento Orbital,Forja Celeste,4504312,106,95519,Striker Guardião do Ninho
Instalação de Suprimento Orbital,Forja Celeste,4504313,106,95519,Vanguarda Nestkeeper
Instalação de Suprimento Orbital,Plataforma do Portão A-01,4504019,94,50719,Bork de Assalto Desenfreado
Instalação de Suprimento Orbital,Plataforma do Portão A-01,4504011,94,50719,Guerreiro Mecânico A01
Instalação de Suprimento Orbital,Plataforma do Portão A-01,4504012,94,50719,Gunner Mecânico A01
Instalação de Suprimento Orbital,Plataforma do Portão B-01,4504112,94,50719,Artilheiro Mecânico B01
Instalação de Suprimento Orbital,Plataforma do Portão B-01,4504119,94,50719,Bork de Assalto Desenfreado
Instalação de Suprimento Orbital,Plataforma do Portão B-01,4504111,94,50719,Guerreiro Mech B01
Instalação de Suprimento Orbital,Plataforma do Portão C-01,4504212,94,50719,Artilheiro Mecânico C01
Instalação de Suprimento Orbital,Plataforma do Portão C-01,4504219,94,50719,Bork de Assalto Desenfreado
Instalação de Suprimento Orbital,Plataforma do Portão C-01,4504211,94,50719,Guerreiro Mecânico C01
Mundo Novus,Base de Perfuração Byrosa,308103,22,41,Criador de Rosetta Mahr
Mundo Novus,Base de Perfuração Byrosa,308102,22,41,Rosetta Catus
Mundo Novus,Base de Perfuração Byrosa,308101,22,41,Rosetta Silex
Mundo Novus,Base de Perfuração Byrosa,308104,23,45,Anfitrião Rosetta Mahr
Mundo Novus,Base de Perfuração Byrosa,308106,23,45,Rosetta Atirador Predo
Mundo Novus,Base de Perfuração Byrosa,308105,23,45,Rosetta Saqueador Predo
Mundo Novus,Base de Perfuração Byrosa,308107,23,45,Saqueador Equesian Rosetta
Mundo Novus,Base de Perfuração Byrosa,308108,24,50,Rosetta Atirador Equesian
Mundo Novus,Base de Perfuração Byrosa,308109,24,50,Rosetta Guerreiro Crawler
Mundo Novus,Base de Perfuração Byrosa,308110,24,50,Sentinela Rosetta Crawler
Mundo Novus,Base de Pesquisa Severin,313203,80,17469,Cavalaria Pesada de Vergen
Mundo Novus,Base de Pesquisa Severin,313297,80,17469,Pathfinder Desenfreado
Mundo Novus,Base de Pesquisa Severin,313201,80,17469,Sentinela Vergen
Mundo Novus,Base de Pesquisa Severin,313202,80,17469,Super Soldado Vergen
Mundo Novus,Base de Pesquisa Severin,313204,80,17469,Vergen Chuti
Mundo Novus,Base de Pesquisa Severin,313298,81,18919,Estilhaçador Selvagem
Mundo Novus,Base de Pesquisa Severin,313206,81,18919,Rastreador Vergen Ferinky
Mundo Novus,Base de Pesquisa Severin,313205,81,18919,Sniper Vergen Ferinky
Mundo Novus,Base de Pesquisa Severin,313207,81,18919,Vergen Ferinky Lutador
Mundo Novus,Base de Pesquisa Severin,313299,82,20419,Fantasma Blindado Enfurecido
Mundo Novus,Base de Pesquisa Severin,313211,82,20419,Feiticeiro Palid Vergen
Mundo Novus,Base de Pesquisa Severin,313209,82,20419,Guardião Palid Vergen
Mundo Novus,Base de Pesquisa Severin,313210,82,20419,Mentalista Palid Vergen
Mundo Novus,Base de Pesquisa Severin,313208,82,20419,Vergen Flem
Mundo Novus,Base Horizon,312905,76,12169,Artilheiro de Patrulha Ramon
Mundo Novus,Base Horizon,312902,76,12169,Drone de Patrulha Ramon
Mundo Novus,Base Horizon,312904,76,12169,Espadachim de Patrulha Ramon
Mundo Novus,Base Horizon,312901,76,12169,Passador de Patrulha Ramon
Mundo Novus,Base Horizon,312906,76,12169,Ramon Gladiador
Mundo Novus,Base Horizon,312908,76,12169,Ramon Sniper
Mundo Novus,Base Horizon,312999,77,13469,Bork de Assalto Desenfreado
Mundo Novus,Base Horizon,312910,77,13469,Drone Farejador Ramon
Mundo Novus,Base Horizon,312997,77,13469,Junker Enfurecido
Mundo Novus,Base Horizon,312998,77,13469,Pathfinder Desenfreado
Mundo Novus,Base Horizon,312913,77,13469,Ramon Artilheiro Mecânico
Mundo Novus,Base Horizon,312914,77,13469,Ramon Bork Laser
Mundo Novus,Base Horizon,312912,77,13469,Ramon Guerreiro Mech
Mundo Novus,Baía de Ropus,3110396,103,77269,Brutal Selvagem
Mundo Novus,Baía de Ropus,3110303,103,77269,Ropus Chuti
Mundo Novus,Baía de Ropus,3110301,103,77269,Ropus Ertelem
Mundo Novus,Baía de Ropus,3110302,103,77269,Ropus Flem
Mundo Novus,Baía de Ropus,3110304,103,77269,Ropus Symbi
Mundo Novus,Baía de Ropus,3110306,104,80719,Atirador Ropus Snatcher
Mundo Novus,Baía de Ropus,3110305,104,80719,Invasor Ropus Snatcher
Mundo Novus,Baía de Ropus,3110308,104,80719,Ropus Vafer Soldado de Cerco
Mundo Novus,Baía de Ropus,3110307,104,80719,Ropus Vafer Soldado Pesado
Mundo Novus,Baía de Ropus,3110397,104,80719,Simbiôntico Selvagem
Mundo Novus,Baía de Ropus,3110398,105,84269,Estilhaçador Selvagem
Mundo Novus,Baía de Ropus,3110310,105,84269,Ropus Anabola
Mundo Novus,Baía de Ropus,3110309,105,84269,Ropus Crook
Mundo Novus,Baía de Ropus,3110311,105,84269,Ropus Fezal
Mundo Novus,Baía de Ropus,3110312,105,84269,Ropus Infernal Draco
Mundo Novus,Baía de Ropus,3110399,106,87919,Canibal Selvagem
Mundo Novus,Baía de Ropus,3110315,106,87919,Ropus Catus
Mundo Novus,Baía de Ropus,3110316,106,87919,Ropus Fera de Guerra
Mundo Novus,Baía de Ropus,3110314,106,87919,Ropus Kaigar
Mundo Novus,Baía de Ropus,3110313,106,87919,Ropus Lapis
Mundo Novus,Campo de Mineração Nable,313501,89,32319,Ativar Bork de Combate
Mundo Novus,Campo de Mineração Nable,313504,89,32319,Ativar Médico Lydian
Mundo Novus,Campo de Mineração Nable,313597,89,32319,Fantasma Enfurecido
Mundo Novus,Campo de Mineração Nable,313502,89,32319,Habilitar Cirurgião Lydian
Mundo Novus,Campo de Mineração Nable,313503,89,32319,Portuário Lydian Nable
Mundo Novus,Campo de Mineração Nable,313598,90,34219,Fantasma Blindado Enfurecido
Mundo Novus,Campo de Mineração Nable,313507,90,34219,Guerreiro Crawler Nable
Mundo Novus,Campo de Mineração Nable,313505,90,34219,Mula Armada Nable
Mundo Novus,Campo de Mineração Nable,313506,90,34219,Navegador Nable
Mundo Novus,Campo de Mineração Nable,313508,90,34219,Sentinela Nable Crawler
Mundo Novus,Campo de Mineração Nable,313511,91,36169,Catador Nable
Mundo Novus,Campo de Mineração Nable,313510,91,36169,Guerreiro Mecânico Nable
Mundo Novus,Campo de Mineração Nable,313599,91,36169,Junker Desenfreado
Mundo Novus,Campo de Mineração Nable,313509,91,36169,Nable Bork de Assalto
Mundo Novus,Campo de Mineração Nable,313512,91,36169,Nable Passer Alpha
Mundo Novus,Campo de Treinamento de Mayazar,305705,33,103,Atirador Manequim do Campo de Treinamento
Mundo Novus,Campo de Treinamento de Mayazar,305701,33,103,Catador de Sucata do Campo de Treinamento
Mundo Novus,Campo de Treinamento de Mayazar,305703,33,103,G-Box do Campo de Treinamento
Mundo Novus,Campo de Treinamento de Mayazar,305704,33,103,Guerreiro Manequim do Campo de Treinamento
Mundo Novus,Campo de Treinamento de Mayazar,305702,33,103,Junker do Campo de Treinamento
Mundo Novus,Campo de Treinamento de Mayazar,305708,34,110,Campo de Treinamento Bork de Assalto
Mundo Novus,Campo de Treinamento de Mayazar,305707,34,110,Campo de Treinamento Bork Laser
Mundo Novus,Campo de Treinamento de Mayazar,305709,34,110,Campo de Treinamento Combate Bork
Mundo Novus,Campo de Treinamento de Mayazar,305710,34,110,Drone Farejador do Campo de Treinamento
Mundo Novus,Campo de Treinamento de Mayazar,305706,34,110,Mula Armada do Campo de Treinamento
Mundo Novus,Campo Nevado Stray,3113301,95,48269,Assassino Soma Perdido
Mundo Novus,Campo Nevado Stray,3113304,95,48269,Cirurgião Perdido
Mundo Novus,Campo Nevado Stray,3113302,95,48269,Guerreiro Pesado Soma Perdido
Mundo Novus,Campo Nevado Stray,3113397,95,48269,Pathfinder Desenfreado
Mundo Novus,Campo Nevado Stray,3113303,95,48269,Shockmancer Soma Perdido
Mundo Novus,Campo Nevado Stray,3113305,96,50719,Docker Perdido
Mundo Novus,Campo Nevado Stray,3113398,96,50719,Fantasma Blindado Enfurecido
Mundo Novus,Campo Nevado Stray,3113306,96,50719,Médico Perdido
Mundo Novus,Campo Nevado Stray,3113308,96,50719,Presa de Skorm Perdida
Mundo Novus,Campo Nevado Stray,3113307,96,50719,Skarz Skorm Perdido
Mundo Novus,Campo Nevado Stray,3113311,97,53269,Aniquilador Nether Perdido
Mundo Novus,Campo Nevado Stray,3113310,97,53269,Guerreiro Nether Perdido
Mundo Novus,Campo Nevado Stray,3113399,97,53269,Junker Desenfreado
Mundo Novus,Campo Nevado Stray,3113312,97,53269,Sentinela Nether Perdido
Mundo Novus,Campo Nevado Stray,3113309,97,53269,Skorm Novs Perdido
Mundo Novus,Colina de Cauldron,307505,41,179,Clod Cauldron
Mundo Novus,Colina de Cauldron,307509,41,179,Demolis Cauldron
Mundo Novus,Colina de Cauldron,307510,41,179,Nezad Cauldron
Mundo Novus,Colina de Cauldron,307506,41,179,Nyoka Cauldron
Mundo Novus,Colina de Cauldron,307508,41,179,Silex Cauldron
Mundo Novus,Colina de Cauldron,307595,42,209,Arghol Selvagem
Mundo Novus,Colina de Cauldron,307503,42,209,Atirador de Caldeirão
Mundo Novus,Colina de Cauldron,307598,42,209,Bork de Assalto Desenfreado
Mundo Novus,Colina de Cauldron,307596,42,209,Brutal Selvagem
Mundo Novus,Colina de Cauldron,307504,42,209,Brutamontes do Caldeirão
Mundo Novus,Colina de Cauldron,307597,42,209,Estilhaçador Selvagem
Mundo Novus,Colina de Cauldron,307502,42,209,Incendiário do Caldeirão
Mundo Novus,Colina de Cauldron,307599,42,209,Junker Desenfreado
Mundo Novus,Colina de Cauldron,307501,42,209,Rastreador de Caldeirão
Mundo Novus,Colina de Cauldron,307507,42,209,Ravenous Cauldron
Mundo Novus,Colina do Errante,306599,57,1469,Arghol Selvagem
Mundo Novus,Colina do Errante,306514,57,1469,Carcereiro Errante
Mundo Novus,Colina do Errante,306504,57,1469,Colina Lapis
Mundo Novus,Colina do Errante,306506,57,1469,Devorador de Colinas
Mundo Novus,Colina do Errante,306597,57,1469,Estilhaçador Selvagem
Mundo Novus,Colina do Errante,306503,57,1469,Executor Errante
Mundo Novus,Colina do Errante,306598,57,1469,Fantasma Enfurecido
Mundo Novus,Colina do Errante,306501,57,1469,Hill Arghol
Mundo Novus,Colina do Errante,306502,57,1469,Hill Ertelem
Mundo Novus,Colina do Errante,306511,57,1469,Hill Fezal
Mundo Novus,Colina do Errante,306510,57,1469,Hill Kaigar
Mundo Novus,Colina do Errante,306512,57,1469,Hill Limpo
Mundo Novus,Colina do Errante,306513,57,1469,Lanceiro Errante
Mundo Novus,Colina do Errante,306508,57,1469,Larva de Colina
Mundo Novus,Colina do Errante,306505,57,1469,Lápis Hill Rigor
Mundo Novus,Colina do Errante,306509,57,1469,Percevejo Fedorento Hill
Mundo Novus,Colina do Errante,306507,57,1469,Sacerdote de Batalha Errante
Mundo Novus,Colina do Pioneiro,306397,65,3369,Arghol Selvagem
Mundo Novus,Colina do Pioneiro,306306,65,3369,Arremessador Snatcher do Deserto
Mundo Novus,Colina do Pioneiro,306399,65,3369,Bork de Assalto Desenfreado
Mundo Novus,Colina do Pioneiro,306307,65,3369,Cavaleiro Snatcher do Deserto
Mundo Novus,Colina do Pioneiro,306310,65,3369,Cirurgião Desenfreado
Mundo Novus,Colina do Pioneiro,306301,65,3369,Devorador Faminto
Mundo Novus,Colina do Pioneiro,306309,65,3369,Docker Enfurecido
Mundo Novus,Colina do Pioneiro,306398,65,3369,Estilhaçador Selvagem
Mundo Novus,Colina do Pioneiro,306311,65,3369,G-Box Enfurecido
Mundo Novus,Colina do Pioneiro,306303,65,3369,Gafftail Faminto
Mundo Novus,Colina do Pioneiro,306302,65,3369,Klon do Deserto Faminto
Mundo Novus,Colina do Pioneiro,306304,65,3369,Lanceiro Snatcher do Deserto
Mundo Novus,Colina do Pioneiro,306305,65,3369,Machadista Snatcher do Deserto
Mundo Novus,Colina do Pioneiro,306308,65,3369,Médico Enfurecido
Mundo Novus,Colina dos Predadores,308301,27,65,Estilhaçador das Colinas
Mundo Novus,Colina dos Predadores,308304,27,65,Flem das Colinas
Mundo Novus,Colina dos Predadores,308302,27,65,Kaigar das Colinas
Mundo Novus,Colina dos Predadores,308307,27,65,Lunker das Colinas
Mundo Novus,Colina dos Predadores,308310,27,65,Mahr das Colinas
Mundo Novus,Colina dos Predadores,308303,27,65,Temizl das Colinas
Mundo Novus,Colina dos Predadores,308312,28,71,Atirador Predo das Colinas
Mundo Novus,Colina dos Predadores,308305,28,71,Gladiador Predo das Colinas
Mundo Novus,Colina dos Predadores,308308,28,71,Guerreiro Crawler das Colinas
Mundo Novus,Colina dos Predadores,308306,28,71,Infantaria Predo das Colinas
Mundo Novus,Colina dos Predadores,308311,28,71,Saqueador Predo das Colinas
Mundo Novus,Colina dos Predadores,308309,28,71,Sentinela Foothills Crawler
Mundo Novus,Colônia Saura,305104,78,14769,Artilheiro Mecânico Kphala
Mundo Novus,Colônia Saura,305105,78,14769,Guerreiro Kphala Elimar
Mundo Novus,Colônia Saura,305103,78,14769,Guerreiro Mecânico Kphala
Mundo Novus,Colônia Saura,305101,78,14769,Guerreiro Saura Kphala
Mundo Novus,Colônia Saura,305106,78,14769,Sentinela Kphala Elimar
Mundo Novus,Colônia Saura,305102,78,14769,Sentinela Kphala Saura
Mundo Novus,Colônia Saura,305198,79,16069,Bork de Assalto Desenfreado
Mundo Novus,Colônia Saura,305199,79,16069,Brutal Selvagem
Mundo Novus,Colônia Saura,305197,79,16069,Junker Desenfreado
Mundo Novus,Colônia Saura,305110,79,16069,Kphala Arghol
Mundo Novus,Colônia Saura,305107,79,16069,Kphala Grumble
Mundo Novus,Colônia Saura,305109,79,16069,Kphala Striker
Mundo Novus,Colônia Saura,305108,79,16069,Kphala Vanguarda
Mundo Novus,Complexo de Pesquisa Anakade,307602,29,77,Anakade Atirador Fora da Lei
Mundo Novus,Complexo de Pesquisa Anakade,307603,29,77,Anakade Fora da Lei Bruiser
Mundo Novus,Complexo de Pesquisa Anakade,307605,29,77,Bork de Assalto Anakade
Mundo Novus,Complexo de Pesquisa Anakade,307604,29,77,Bork Laser Anakade
Mundo Novus,Complexo de Pesquisa Anakade,307601,29,77,Lutador de Faca Fora da Lei Anakade
Mundo Novus,Complexo de Pesquisa Anakade,307609,30,83,Anakade Ferinky Lutador
Mundo Novus,Complexo de Pesquisa Anakade,307611,30,83,Cavalaria Pesada Anakade
Mundo Novus,Complexo de Pesquisa Anakade,307607,30,83,Combatente Mecânico Anakade
Mundo Novus,Complexo de Pesquisa Anakade,307610,30,83,Rastreador Ferinky de Anakade
Mundo Novus,Complexo de Pesquisa Anakade,307608,30,83,Sentinela Anakade
Mundo Novus,Deserto da Morte,307806,71,7269,Artilheiro de Mecha do Deserto
Mundo Novus,Deserto da Morte,307802,71,7269,Atirador Vagabundo do Deserto
Mundo Novus,Deserto da Morte,307804,71,7269,Berserker Vagabundo do Deserto
Mundo Novus,Deserto da Morte,307801,71,7269,Combatente Vagabundo do Deserto
Mundo Novus,Deserto da Morte,307805,71,7269,Espadachim Mech do Deserto
Mundo Novus,Deserto da Morte,307803,71,7269,Retalhador Vagabundo do Deserto
Mundo Novus,Deserto da Morte,307899,72,8069,Arghol Selvagem
Mundo Novus,Deserto da Morte,307897,72,8069,Bork de Assalto Desenfreado
Mundo Novus,Deserto da Morte,307808,72,8069,Deserto Nyoka
Mundo Novus,Deserto da Morte,307813,72,8069,Deserto Silex
Mundo Novus,Deserto da Morte,307810,72,8069,Deserto Yusigula
Mundo Novus,Deserto da Morte,307812,72,8069,Devorador do Deserto
Mundo Novus,Deserto da Morte,307807,72,8069,Drone Peep do Deserto
