spot_id,location_kind,content_name_ptbr,floor_or_difficulty_ptbr,display_label_ptbr,map_name_ptbr,spot_name_ptbr,map_contents,map_ids,region_ids,mob_map_ids,npc_id,mob_name_ptbr,mob_level,mob_spawn_kind,exp_base_min,exp_base_values,exp_base_value_count,exp_status,spawn_value_by_map,spawn_rows,source_tables,catalog_version
map:4354:region:435109:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada de Babilônia [mapa 4354],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada de Babilônia,43,4354,435109|435113,4354,3435420,Arremessador Carmesim,98,normal,204876,204876,1,candidato_estatico_item_900,4354:370,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4454:region:435109:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada de Babilônia [mapa 4454],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada de Babilônia,47,4454,435109|435113,4454,3435420,Arremessador Carmesim,98,normal,204876,204876,1,candidato_estatico_item_900,4454:108,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4354:region:435109:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada de Babilônia [mapa 4354],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada de Babilônia,43,4354,435109|435113,4354,3435418,Cão Carmesim,98,normal,204876,204876,1,candidato_estatico_item_900,4354:370,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4454:region:435109:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada de Babilônia [mapa 4454],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada de Babilônia,47,4454,435109|435113,4454,3435418,Cão Carmesim,98,normal,204876,204876,1,candidato_estatico_item_900,4454:104,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4354:region:435109:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada de Babilônia [mapa 4354],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada de Babilônia,43,4354,435109|435113,4354,3435401,Gigas,98,normal,2560950,2560950,1,candidato_estatico_item_900,4354:18,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4454:region:435109:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada de Babilônia [mapa 4454],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada de Babilônia,47,4454,435109|435113,4454,3435401,Gigas,98,normal,2560950,2560950,1,candidato_estatico_item_900,4454:6,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4354:region:435109:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada de Babilônia [mapa 4354],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada de Babilônia,43,4354,435109|435113,4354,3435419,Larva Infernal Carmesim,98,normal,204876,204876,1,candidato_estatico_item_900,4354:370,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4454:region:435109:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada de Babilônia [mapa 4454],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada de Babilônia,47,4454,435109|435113,4454,3435419,Larva Infernal Carmesim,98,normal,204876,204876,1,candidato_estatico_item_900,4454:108,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4354:region:435109:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada de Babilônia [mapa 4354],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada de Babilônia,43,4354,435109|435113,4354,3435402,Morposi,98,normal,2560950,2560950,1,candidato_estatico_item_900,4354:18,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4454:region:435109:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 4,Cidade Arruinada da Babilônia Área 4 > Cidade Arruinada de Babilônia [mapa 4454],Cidade Arruinada da Babilônia Área 4,Cidade Arruinada de Babilônia,47,4454,435109|435113,4454,3435402,Morposi,98,normal,2560950,2560950,1,candidato_estatico_item_900,4454:6,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4351:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4351],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,43,4351,435108|435110|435111|435112|435114,4351,3435120,Arremessador Carmesim,86,normal,87486,87486,1,candidato_estatico_item_900,4351:802,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4451:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4451],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,47,4451,435108|435110|435111|435112|435114,4451,3435120,Arremessador Carmesim,86,normal,87486,87486,1,candidato_estatico_item_900,4451:260,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4351:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4351],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,43,4351,435108|435110|435111|435112|435114,4351,3435118,Cão Carmesim,86,normal,87486,87486,1,candidato_estatico_item_900,4351:802,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4451:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4451],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,47,4451,435108|435110|435111|435112|435114,4451,3435118,Cão Carmesim,86,normal,87486,87486,1,candidato_estatico_item_900,4451:264,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4351:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4351],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,43,4351,435108|435110|435111|435112|435114,4351,3435101,Gigas,86,normal,1345950,1345950,1,candidato_estatico_item_900,4351:39,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4451:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4451],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,47,4451,435108|435110|435111|435112|435114,4451,3435101,Gigas,86,normal,1345950,1345950,1,candidato_estatico_item_900,4451:15,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4351:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4351],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,43,4351,435108|435110|435111|435112|435114,4351,3435119,Larva Infernal Carmesim,86,normal,87486,87486,1,candidato_estatico_item_900,4351:802,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4451:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4451],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,47,4451,435108|435110|435111|435112|435114,4451,3435119,Larva Infernal Carmesim,86,normal,87486,87486,1,candidato_estatico_item_900,4451:260,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4351:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4351],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,43,4351,435108|435110|435111|435112|435114,4351,3435102,Morposi,86,normal,1345950,1345950,1,candidato_estatico_item_900,4351:39,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4451:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4451],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,47,4451,435108|435110|435111|435112|435114,4451,3435102,Morposi,86,normal,1345950,1345950,1,candidato_estatico_item_900,4451:15,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4351:region:435109:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada de Babilônia [mapa 4351],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada de Babilônia,43,4351,435109|435113,4351,3435120,Arremessador Carmesim,86,normal,87486,87486,1,candidato_estatico_item_900,4351:370,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4451:region:435109:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada de Babilônia [mapa 4451],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada de Babilônia,47,4451,435109|435113,4451,3435120,Arremessador Carmesim,86,normal,87486,87486,1,candidato_estatico_item_900,4451:108,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4351:region:435109:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada de Babilônia [mapa 4351],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada de Babilônia,43,4351,435109|435113,4351,3435118,Cão Carmesim,86,normal,87486,87486,1,candidato_estatico_item_900,4351:370,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4451:region:435109:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada de Babilônia [mapa 4451],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada de Babilônia,47,4451,435109|435113,4451,3435118,Cão Carmesim,86,normal,87486,87486,1,candidato_estatico_item_900,4451:104,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4351:region:435109:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada de Babilônia [mapa 4351],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada de Babilônia,43,4351,435109|435113,4351,3435101,Gigas,86,normal,1345950,1345950,1,candidato_estatico_item_900,4351:18,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4451:region:435109:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada de Babilônia [mapa 4451],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada de Babilônia,47,4451,435109|435113,4451,3435101,Gigas,86,normal,1345950,1345950,1,candidato_estatico_item_900,4451:6,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4351:region:435109:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada de Babilônia [mapa 4351],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada de Babilônia,43,4351,435109|435113,4351,3435119,Larva Infernal Carmesim,86,normal,87486,87486,1,candidato_estatico_item_900,4351:370,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4451:region:435109:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada de Babilônia [mapa 4451],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada de Babilônia,47,4451,435109|435113,4451,3435119,Larva Infernal Carmesim,86,normal,87486,87486,1,candidato_estatico_item_900,4451:108,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4351:region:435109:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada de Babilônia [mapa 4351],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada de Babilônia,43,4351,435109|435113,4351,3435102,Morposi,86,normal,1345950,1345950,1,candidato_estatico_item_900,4351:18,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4451:region:435109:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 1,Área 1 da Cidade Arruinada da Babilônia > Cidade Arruinada de Babilônia [mapa 4451],Área 1 da Cidade Arruinada da Babilônia,Cidade Arruinada de Babilônia,47,4451,435109|435113,4451,3435102,Morposi,86,normal,1345950,1345950,1,candidato_estatico_item_900,4451:6,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4352:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 2,Área 2 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4352],Área 2 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,43,4352,435108|435110|435111|435112|435114,4352,3435220,Arremessador Carmesim,90,normal,111211,111211,1,candidato_estatico_item_900,4352:802,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4452:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 2,Área 2 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4452],Área 2 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,47,4452,435108|435110|435111|435112|435114,4452,3435220,Arremessador Carmesim,90,normal,111211,111211,1,candidato_estatico_item_900,4452:260,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4352:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 2,Área 2 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4352],Área 2 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,43,4352,435108|435110|435111|435112|435114,4352,3435218,Cão Carmesim,90,normal,111211,111211,1,candidato_estatico_item_900,4352:802,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4452:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 2,Área 2 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4452],Área 2 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,47,4452,435108|435110|435111|435112|435114,4452,3435218,Cão Carmesim,90,normal,111211,111211,1,candidato_estatico_item_900,4452:264,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4352:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 2,Área 2 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4352],Área 2 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,43,4352,435108|435110|435111|435112|435114,4352,3435201,Gigas,90,normal,1710950,1710950,1,candidato_estatico_item_900,4352:39,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4452:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 2,Área 2 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4452],Área 2 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,47,4452,435108|435110|435111|435112|435114,4452,3435201,Gigas,90,normal,1710950,1710950,1,candidato_estatico_item_900,4452:15,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4352:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 2,Área 2 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4352],Área 2 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,43,4352,435108|435110|435111|435112|435114,4352,3435219,Larva Infernal Carmesim,90,normal,111211,111211,1,candidato_estatico_item_900,4352:802,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4452:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 2,Área 2 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4452],Área 2 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,47,4452,435108|435110|435111|435112|435114,4452,3435219,Larva Infernal Carmesim,90,normal,111211,111211,1,candidato_estatico_item_900,4452:260,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4352:region:435108:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 2,Área 2 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4352],Área 2 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,43,4352,435108|435110|435111|435112|435114,4352,3435202,Morposi,90,normal,1710950,1710950,1,candidato_estatico_item_900,4352:39,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4452:region:435108:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 2,Área 2 da Cidade Arruinada da Babilônia > Cidade Arruinada da Babilônia [mapa 4452],Área 2 da Cidade Arruinada da Babilônia,Cidade Arruinada da Babilônia,47,4452,435108|435110|435111|435112|435114,4452,3435202,Morposi,90,normal,1710950,1710950,1,candidato_estatico_item_900,4452:15,5,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4352:region:435109:content:43,babylon_pve,Cidade Arruinada da Babilônia,Área 2,Área 2 da Cidade Arruinada da Babilônia > Cidade Arruinada de Babilônia [mapa 4352],Área 2 da Cidade Arruinada da Babilônia,Cidade Arruinada de Babilônia,43,4352,435109|435113,4352,3435220,Arremessador Carmesim,90,normal,111211,111211,1,candidato_estatico_item_900,4352:370,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
map:4452:region:435109:content:47,babylon_pve,Cidade Arruinada da Babilônia,Área 2,Área 2 da Cidade Arruinada da Babilônia > Cidade Arruinada de Babilônia [mapa 4452],Área 2 da Cidade Arruinada da Babilônia,Cidade Arruinada de Babilônia,47,4452,435109|435113,4452,3435220,Arremessador Carmesim,90,normal,111211,111211,1,candidato_estatico_item_900,4452:108,2,RF_Babylon_Lobby|RF_MapInfoTable_Spawn|RF_MapTable|RF_NPCTable|RF_RegionTable|mob_exp_candidates.csv,1.28.5
